timestamp_ns,waker_pid,target_pid,cpu,latency_ns,waker_comm,target_comm,waker_kernel_stack,target_state,waker_cpu,target_cpu
9295624122903,124145,124073,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624143260,124145,124074,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624146298,124145,124075,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624150066,124145,124076,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624153526,124145,124077,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624157235,124145,124078,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624161690,124145,124079,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624165306,124145,124080,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624192666,124145,124081,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624196779,124145,124082,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624200885,124145,124083,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624204009,124145,124084,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624207109,124145,124085,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624210978,124145,124086,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624214261,124145,124087,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624217471,124145,124088,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624221066,124145,124089,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624223759,124145,124090,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624229073,124145,124091,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624237061,124145,124092,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624240847,124145,124093,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624245390,124145,124094,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624249305,124145,124095,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9295624257228,124145,124096,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
