PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
37685,b'stress-ng-aio', 59494897693,99.70,0.30,99885
37693,b'stress-ng-aio', 59310464555,99.71,0.29,104156
37699,b'stress-ng-aio', 59662707642,99.67,0.33,103269
37679,b'stress-ng-aio', 59495450630,99.65,0.35,95004
37697,b'stress-ng-aio', 59495171303,99.68,0.32,124668
37694,b'stress-ng-aio', 59662388926,99.71,0.29,113467
37701,b'stress-ng-aio', 59662232293,99.71,0.29,109161
37683,b'stress-ng-aio', 59495502577,99.69,0.31,112399
37692,b'stress-ng-aio', 59495086141,99.66,0.34,103927
37681,b'stress-ng-aio', 59194686637,99.70,0.30,106239
37696,b'stress-ng-aio', 59310455925,99.66,0.34,114069
37688,b'stress-ng-aio', 59195709733,99.75,0.25,111688
37684,b'stress-ng-aio', 59495420003,99.71,0.29,110274
37680,b'stress-ng-aio', 59309747002,99.69,0.31,98331
37686,b'stress-ng-aio', 59309652385,99.74,0.26,100803
37689,b'stress-ng-aio', 59636391115,99.66,0.34,102441
37698,b'stress-ng-aio', 59494837915,99.72,0.28,111632
37682,b'stress-ng-aio', 59662651805,99.74,0.26,106094
37700,b'stress-ng-aio', 59678991991,99.68,0.32,113017
37691,b'stress-ng-aio', 59662012534,99.75,0.25,108269
37678,b'stress-ng-aio', 59310432320,99.69,0.31,96331
37690,b'stress-ng-aio', 59662719240,99.72,0.28,105756
37695,b'stress-ng-aio', 59636661657,99.69,0.31,112221
37687,b'stress-ng-aio', 59662728017,99.62,0.38,98161
