timestamp_ns,pid,cpu,refs,misses,cache_level,comm
78919689762877,258441,4,6271154,0,0,b'stress-ng-cpu'
78919690164842,258435,5,6500204,0,0,b'stress-ng-cpu'
78919692783902,258435,5,0,1568,0,b'stress-ng-cpu'
78919693399229,258431,2,9338038,0,0,b'stress-ng-cpu'
78919694191052,258432,3,7841132,0,0,b'stress-ng-cpu'
78919696001810,258432,3,0,1381,0,b'stress-ng-cpu'
78919697796988,258435,5,0,2021,0,b'stress-ng-cpu'
78919698002927,258432,3,0,2227,0,b'stress-ng-cpu'
78919698721752,258441,4,0,2852,0,b'stress-ng-cpu'
78919698775423,258441,4,0,2852,0,b'stress-ng-cpu'
78919699129513,258439,0,6618917,0,0,b'stress-ng-cpu'
78919699426931,258432,3,0,4520,0,b'stress-ng-cpu'
78919699688053,258437,1,0,4140,0,b'stress-ng-cpu'
78919699687951,258435,5,0,3823,0,b'stress-ng-cpu'
78919699759654,258441,4,6209443,0,0,b'stress-ng-cpu'
78919699845222,258435,5,0,5873,0,b'stress-ng-cpu'
78919699969147,258437,1,7558841,0,0,b'stress-ng-cpu'
78919700002971,258439,0,0,8482,0,b'stress-ng-cpu'
78919700005509,258441,4,0,60326,0,b'stress-ng-cpu'
78919700952825,258435,5,6361058,0,0,b'stress-ng-cpu'
78919701852410,258432,3,0,9913,0,b'stress-ng-cpu'
78919702263082,258431,2,0,10709,0,b'stress-ng-cpu'
78919703833860,258431,2,9011360,0,0,b'stress-ng-cpu'
78919704868911,258439,0,0,11637,0,b'stress-ng-cpu'
78919705006028,258437,1,0,9057,0,b'stress-ng-cpu'
78919705469908,258435,5,0,31145,0,b'stress-ng-cpu'
78919709133771,258439,0,6692056,0,0,b'stress-ng-cpu'
78919709443509,258432,3,5296615,0,0,b'stress-ng-cpu'
78919709708308,258432,3,0,11994,0,b'stress-ng-cpu'
78919709762399,258441,4,6319898,0,0,b'stress-ng-cpu'
78919710122249,258437,1,7460734,0,0,b'stress-ng-cpu'
78919711283685,258435,5,6056386,0,0,b'stress-ng-cpu'
78919713843087,258431,2,8942489,0,0,b'stress-ng-cpu'
78919715002504,258437,1,0,10921,0,b'stress-ng-cpu'
78919715275264,258439,0,0,11303,0,b'stress-ng-cpu'
78919715718305,258449,0,0,11303,0,b'stress-ng-aio'
78919715330785,258431,2,0,9352,0,b'stress-ng-cpu'
78919716497329,258431,2,0,19390,0,b'stress-ng-cpu'
78919717581131,258432,3,6266793,0,0,b'stress-ng-cpu'
78919719489345,258432,3,0,12193,0,b'stress-ng-cpu'
78919721586395,258435,5,5825887,0,0,b'stress-ng-cpu'
78919719784553,258439,0,0,42367,0,b'stress-ng-cpu'
78919720851884,258439,0,6077923,0,0,b'stress-ng-cpu'
78919720041437,258437,1,7551004,0,0,b'stress-ng-cpu'
78919722876813,258441,4,5213264,0,0,b'stress-ng-cpu'
78919725451093,258432,3,7355907,0,0,b'stress-ng-cpu'
78919727282403,258431,2,7304016,0,0,b'stress-ng-cpu'
78919730163075,258437,1,7504818,0,0,b'stress-ng-cpu'
78919730978076,258435,5,6171099,0,0,b'stress-ng-cpu'
78919731741821,258439,0,5674680,0,0,b'stress-ng-cpu'
78919733599513,258441,4,4839056,0,0,b'stress-ng-cpu'
78919734648125,258432,3,7807947,0,0,b'stress-ng-cpu'
78919734990918,258437,1,0,3424,0,b'stress-ng-cpu'
78919735510824,258431,2,8192709,0,0,b'stress-ng-cpu'
78919740152100,258437,1,7543798,0,0,b'stress-ng-cpu'
78919740196381,258435,5,0,4386,0,b'stress-ng-cpu'
78919740543247,258435,5,6327873,0,0,b'stress-ng-cpu'
78919741557954,258439,0,5887335,0,0,b'stress-ng-cpu'
78919742827099,258441,4,5209660,0,0,b'stress-ng-cpu'
78919744273040,258431,2,9007243,0,0,b'stress-ng-cpu'
78919744409230,258432,3,7962840,0,0,b'stress-ng-cpu'
78919749724055,258435,5,6803614,0,0,b'stress-ng-cpu'
78919749983021,258437,1,7711681,0,0,b'stress-ng-cpu'
78919752266660,258439,0,5615321,0,0,b'stress-ng-cpu'
78919753321871,258441,4,5132448,0,0,b'stress-ng-cpu'
78919753970711,258431,2,9206001,0,0,b'stress-ng-cpu'
78919754445863,258432,3,7932815,0,0,b'stress-ng-cpu'
78919759962763,258435,5,6621860,0,0,b'stress-ng-cpu'
78919760047006,258437,1,7647106,0,0,b'stress-ng-cpu'
78919761547425,258439,0,6028233,0,0,b'stress-ng-cpu'
78919763217455,258441,4,5219008,0,0,b'stress-ng-cpu'
78919763864966,258431,2,9283337,0,0,b'stress-ng-cpu'
78919764362128,258432,3,7972667,0,0,b'stress-ng-cpu'
78919769663819,258435,5,6819612,0,0,b'stress-ng-cpu'
78919769966767,258437,1,7700228,0,0,b'stress-ng-cpu'
78919772001755,258441,4,0,994,0,b'stress-ng-cpu'
78919772307898,258439,0,5689471,0,0,b'stress-ng-cpu'
78919773372981,258441,4,5197412,0,0,b'stress-ng-cpu'
78919773851991,258431,2,9306674,0,0,b'stress-ng-cpu'
78919774349763,258432,3,7980914,0,0,b'stress-ng-cpu'
78919775003021,258432,3,0,388,0,b'stress-ng-cpu'
78919778097422,258432,3,0,622,0,b'stress-ng-cpu'
78919780041183,258435,5,6653752,0,0,b'stress-ng-cpu'
78919780123413,258437,1,7640804,0,0,b'stress-ng-cpu'
78919780786350,258439,0,0,1073,0,b'stress-ng-cpu'
78919781003379,258431,2,0,468,0,b'stress-ng-cpu'
78919781653962,258437,1,0,489,0,b'stress-ng-cpu'
78919782000370,258439,0,5694960,0,0,b'stress-ng-cpu'
78919782936875,258441,4,0,701,0,b'stress-ng-cpu'
78919782979185,258431,2,0,470,0,b'stress-ng-cpu'
78919783327299,258441,4,5400089,0,0,b'stress-ng-cpu'
78919783656603,258432,3,0,1536,0,b'stress-ng-cpu'
78919783908758,258431,2,9265975,0,0,b'stress-ng-cpu'
78919783938872,258431,2,0,1265,0,b'stress-ng-cpu'
78919784054455,258437,1,0,2720,0,b'stress-ng-cpu'
78919784280936,258439,0,0,1936,0,b'stress-ng-cpu'
