timestamp_ns,pid,cpu,refs,misses,cache_level,comm
79508881556868,265198,0,145883,0,0,b'stress-ng-cpu'
79508881825429,265198,0,145883,0,0,b'stress-ng-cpu'
79508882061798,265198,0,1129685,0,0,b'stress-ng-cpu'
79508881639766,265203,2,149572,0,0,b'stress-ng-aio'
79508881912229,265204,2,0,86419,0,b'stress-ng-cpu'
79508882039053,265204,2,387173,0,0,b'stress-ng-cpu'
79508882704528,265204,2,1551014,0,0,b'stress-ng-cpu'
79508881463815,265197,4,0,72773,0,b'stress-ng-aio'
79508881704512,265200,4,219503,0,0,b'stress-ng-cpu'
79508882019817,265200,4,614722,0,0,b'stress-ng-cpu'
79508882850756,265200,4,2972425,0,0,b'stress-ng-cpu'
79508881729060,265202,5,275934,0,0,b'stress-ng-cpu'
79508882169571,265206,5,0,87673,0,b'stress-ng-cpu'
79508882221719,265206,5,577895,0,0,b'stress-ng-cpu'
79508883226846,265206,5,2404345,0,0,b'stress-ng-cpu'
79508884333777,265208,0,6474537,0,0,b'stress-ng-cpu'
79508885678047,265198,2,4774489,0,0,b'stress-ng-cpu'
79508886953126,265208,0,0,78349,0,b'stress-ng-cpu'
79508887580624,265200,5,5118519,0,0,b'stress-ng-cpu'
79508888365881,265202,4,6226710,0,0,b'stress-ng-cpu'
79508892494143,265208,2,6079721,0,0,b'stress-ng-cpu'
79508893534843,265204,5,6877951,0,0,b'stress-ng-cpu'
79508894377108,265206,5,0,73494,0,b'stress-ng-cpu'
79508895918268,265204,0,5959652,0,0,b'stress-ng-cpu'
79508899420500,265206,2,7867676,0,0,b'stress-ng-cpu'
79508900700867,265204,4,5436455,0,0,b'stress-ng-cpu'
79508902363376,265204,5,7539771,0,0,b'stress-ng-cpu'
79508903755601,265198,2,0,37613,0,b'stress-ng-cpu'
79508907732037,265204,0,5180195,0,0,b'stress-ng-cpu'
79508910107871,265200,2,7669478,0,0,b'stress-ng-cpu'
79508911499505,265198,5,8105278,0,0,b'stress-ng-cpu'
79508911723360,265202,4,4978429,0,0,b'stress-ng-cpu'
79508917524134,265206,0,5268415,0,0,b'stress-ng-cpu'
79508918321926,265200,2,8658657,0,0,b'stress-ng-cpu'
79508920389593,265200,4,5288224,0,0,b'stress-ng-cpu'
79508921511495,265198,5,8060738,0,0,b'stress-ng-cpu'
79508922177777,265202,1,140065,0,0,b'stress-ng-cpu'
