timestamp_ns,waker_pid,target_pid,cpu,latency_ns,waker_comm,target_comm,waker_kernel_stack,target_state,waker_cpu,target_cpu
79508881505146,265197,265197,2,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,2
79508881585702,265197,265203,2,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,2
79508881535909,265200,265201,4,0,b'stress-ng-cpu',b'stress-ng-aio',,0,0,4
79508881532813,265201,265199,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508882027814,265207,265205,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508882039491,265199,265207,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508881408774,265295,265197,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881422145,265295,265198,6,0,b'pkill',b'stress-ng-cpu',,0,0,6
79508881455871,265295,265199,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881464520,265295,265200,6,0,b'pkill',b'stress-ng-cpu',,0,0,6
79508881470611,265295,265201,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881491991,265295,265202,6,0,b'pkill',b'stress-ng-cpu',,0,0,6
79508881496226,265295,265203,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881502401,265295,265204,6,0,b'pkill',b'stress-ng-cpu',,0,0,6
79508881509692,265295,265205,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881519715,265295,265206,6,0,b'pkill',b'stress-ng-cpu',,0,0,6
79508881527004,265295,265207,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881538654,265295,265208,6,0,b'pkill',b'stress-ng-cpu',,0,0,6
79508881546240,265295,265209,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881555658,265295,265210,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881563218,265295,265211,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881569861,265295,265212,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881576852,265295,265213,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881583566,265295,265214,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881591866,265295,265215,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881599125,265295,265216,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881606309,265295,265217,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881613729,265295,265218,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881621813,265295,265219,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508881630161,265295,265220,6,0,b'pkill',b'stress-ng-aio',,0,0,6
79508883192413,265197,265197,0,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,0
79508883272124,265219,265209,0,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,0
79508885292925,265203,265203,2,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,2
79508885286872,265201,265201,4,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,4
79508885267185,265199,265199,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885346258,265211,265211,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885428685,265207,265207,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885484404,265219,265219,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885553340,265205,265205,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885622366,265209,265209,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885678699,265210,265210,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885731862,265220,265220,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885783008,265214,265214,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885836340,265215,265215,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885887762,265216,265216,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885939604,265217,265217,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508885992073,265218,265218,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508886015582,265212,265212,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508886070701,265213,265213,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79508889260565,265218,265218,2,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,2
79509001034571,265197,265197,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
79509001140594,265197,265197,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
79509001236331,265201,265201,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
79509001303222,265209,265209,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
79509001372349,265205,265205,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
79509001440521,265212,265212,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
79509001508961,265213,265213,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
79509002084498,265213,265213,0,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,0
79509002173098,265201,265201,0,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,0
79509002085197,265205,265205,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79509002156737,265209,265209,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79509002223803,265212,265212,5,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,5
79509053065093,265203,265203,0,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,0
