PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
430586,b'stress-ng-cpu', 59820008114,79.34,20.66,11932220
430589,b'stress-ng-cpu', 59830000002,79.92,20.08,13075451
430590,b'stress-ng-cpu', 59837001784,83.15,16.85,13502916
430587,b'stress-ng-cpu', 59831001823,81.06,18.94,12706977
430583,b'stress-ng-cpu', 59838317305,80.30,19.70,13426637
430596,b'stress-ng-cpu', 59799008632,82.35,17.65,13986669
430591,b'stress-ng-cpu', 59825992741,80.96,19.04,11478481
430601,b'stress-ng-cpu', 59821004303,80.49,19.51,11630797
430597,b'stress-ng-cpu', 59817436715,82.47,17.53,14098397
430598,b'stress-ng-cpu', 59836560451,80.67,19.33,11935482
430588,b'stress-ng-cpu', 59822246100,82.43,17.57,13339227
430606,b'stress-ng-cpu', 59833997933,81.01,18.99,12662220
430594,b'stress-ng-cpu', 59806001335,82.16,17.84,13350255
430593,b'stress-ng-cpu', 59826276730,82.40,17.60,13876223
430599,b'stress-ng-cpu', 59824006082,80.37,19.63,11076260
430584,b'stress-ng-cpu', 59818486958,77.47,22.53,12735941
430582,b'stress-ng-cpu', 59835451119,80.30,19.70,14177503
430600,b'stress-ng-cpu', 59830098640,82.50,17.50,13622399
430602,b'stress-ng-cpu', 59831108641,80.12,19.88,12859719
430605,b'stress-ng-cpu', 59822400305,76.08,23.92,10944329
430592,b'stress-ng-cpu', 59823390273,80.13,19.87,11831533
430585,b'stress-ng-cpu', 59816885682,79.13,20.87,11003673
430595,b'stress-ng-cpu', 59817996766,81.23,18.77,11830155
430603,b'stress-ng-cpu', 59814289193,81.22,18.78,11633532
