timestamp_ns,pid,prev_pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,next_pid,next_comm
36351703222952,409073,409061,4,2018365,0,b'stress-ng-cpu',,,0,b''
36351706898419,409069,409066,4,3748882,0,b'stress-ng-aio',,,0,b''
36351706921542,409067,409069,4,3751578,0,b'stress-ng-aio',,,0,b''
36351711051883,409083,409065,4,8013228,0,b'stress-ng-aio',,,0,b''
36351711214118,409072,409071,4,7155776,0,b'stress-ng-aio',,,0,b''
36351711239886,409080,409072,4,7146738,0,b'stress-ng-aio',,,0,b''
36351711264684,409073,409080,4,6200492,0,b'stress-ng-cpu',,,0,b''
36351715033279,409070,409073,4,9991572,0,b'stress-ng-cpu',,,0,b''
36351717024753,409062,409070,4,10986441,0,b'stress-ng-aio',,,0,b''
36351721035927,409069,409063,4,9999586,0,b'stress-ng-aio',,,0,b''
36351721082280,409067,409069,4,14160738,0,b'stress-ng-aio',,,0,b''
36351721103550,409075,409067,4,14158126,0,b'stress-ng-aio',,,0,b''
36351721127296,409064,409075,4,15025459,0,b'stress-ng-aio',,,0,b''
36351721149339,409074,409064,4,15967529,0,b'stress-ng-aio',,,0,b''
36351721204243,409079,409076,4,15078753,0,b'stress-ng-aio',,,0,b''
36351722035693,409060,409073,4,7002414,0,b'stress-ng-cpu',,,0,b''
36351723035758,409077,409060,4,8002478,0,b'stress-ng-aio',,,0,b''
36351723066508,409071,409077,4,16237295,0,b'stress-ng-aio',,,0,b''
36351723098570,409072,409071,4,11884452,0,b'stress-ng-aio',,,0,b''
36351723119158,409083,409072,4,11879272,0,b'stress-ng-aio',,,0,b''
36351723138586,409080,409083,4,12041099,0,b'stress-ng-aio',,,0,b''
36351725037374,409082,409070,4,8012621,0,b'stress-ng-aio',,,0,b''
36351725060190,409081,409082,4,9177219,0,b'stress-ng-aio',,,0,b''
36351729033000,409060,409063,4,7997073,0,b'stress-ng-cpu',,,0,b''
36351733031992,409070,409060,4,9996234,0,b'stress-ng-cpu',,,0,b''
36351736044638,409068,409070,4,11007264,0,b'stress-ng-cpu',,,0,b''
