timestamp_ns,pid,prev_pid,cpu,duration_ns,freq_khz,comm,prev_comm,voluntary
36351701204587,409061,0,4,20663,4000002,b'stress-ng-aio',b'',0
36351701309770,409062,409062,4,10860,3999997,b'stress-ng-aio',b'pkill',0
36351701331779,409064,0,4,22009,4000017,b'stress-ng-aio',b'',0
36351702040209,409063,409063,4,637466,3999996,b'stress-ng-cpu',b'pkill',1
36351703038655,409065,0,4,998446,3999996,b'stress-ng-cpu',b'',1
36351703149537,409066,409066,4,13126,4000003,b'stress-ng-aio',b'pkill',0
36351703169964,409069,409069,4,20427,3999998,b'stress-ng-aio',b'pkill',0
36351703188649,409067,409067,4,18685,3999995,b'stress-ng-aio',b'stress-ng-aio',0
36351703222952,409061,409061,4,34303,4000020,b'stress-ng-aio',b'pkill',0
36351705041707,409073,409073,4,1818755,3999991,b'stress-ng-cpu',b'pkill',1
36351705064192,409080,0,4,22485,3999985,b'stress-ng-aio',b'',0
36351705181810,409064,0,4,22930,4000010,b'stress-ng-aio',b'',0
36351706038312,409070,409070,4,593501,4000009,b'stress-ng-cpu',b'pkill',1
36351706059320,409082,409082,4,21008,3999992,b'stress-ng-aio',b'pkill',0
36351706101837,409075,409075,4,42517,4000001,b'stress-ng-aio',b'pkill',0
36351706125490,409076,409076,4,23653,4000026,b'stress-ng-aio',b'pkill',0
36351706149358,409079,409079,4,23868,4000009,b'stress-ng-aio',b'pkill',0
36351706163997,409081,0,4,14639,4000001,b'stress-ng-aio',b'',0
36351706829213,409077,409077,4,20047,3999996,b'stress-ng-aio',b'pkill',0
36351706851390,409078,409078,4,22177,3999980,b'stress-ng-aio',b'pkill',0
36351706874509,409074,409074,4,23119,4000025,b'stress-ng-aio',b'stress-ng-aio',0
36351706898419,409066,409066,4,23910,3999969,b'stress-ng-aio',b'stress-ng-aio',0
36351706921542,409069,409069,4,23123,3999969,b'stress-ng-aio',b'stress-ng-aio',0
36351706945424,409067,0,4,23882,4000020,b'stress-ng-aio',b'',0
36351711051883,409065,409065,4,3949996,3999986,b'stress-ng-cpu',b'stress-ng-aio',1
36351711097487,409083,0,4,45604,4000013,b'stress-ng-aio',b'',0
36351711214118,409071,409071,4,23287,4000008,b'stress-ng-aio',b'stress-ng-aio',0
36351711239886,409072,409072,4,25768,4000034,b'stress-ng-aio',b'stress-ng-aio',0
36351711264684,409080,409080,4,24798,4000034,b'stress-ng-aio',b'stress-ng-aio',0
36351715033279,409073,409073,4,3768595,4000013,b'stress-ng-cpu',b'stress-ng-cpu',1
36351717024753,409070,409070,4,1991474,3999985,b'stress-ng-cpu',b'stress-ng-aio',1
36351717049948,409062,0,4,25195,3999985,b'stress-ng-aio',b'',0
36351721035927,409063,409063,4,3646203,4000011,b'stress-ng-cpu',b'stress-ng-aio',1
36351721082280,409069,409069,4,46353,3999966,b'stress-ng-aio',b'stress-ng-aio',0
36351721103550,409067,409067,4,21270,3999966,b'stress-ng-aio',b'stress-ng-aio',0
36351721127296,409075,409075,4,23746,4000031,b'stress-ng-aio',b'stress-ng-aio',0
36351721149339,409064,409064,4,22043,3999987,b'stress-ng-aio',b'stress-ng-aio',0
36351721169692,409074,0,4,20353,3999987,b'stress-ng-aio',b'',0
36351721204243,409076,409076,4,17495,4000008,b'stress-ng-aio',b'stress-ng-aio',0
36351721224296,409079,0,4,20053,3999989,b'stress-ng-aio',b'',0
36351721276316,409078,0,4,15756,3999989,b'stress-ng-aio',b'',0
36351722035693,409073,409073,4,581972,3999998,b'stress-ng-cpu',b'stress-ng-cpu',1
