timestamp_ns,pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,wait_type,next_pid
35678497688765,401548,3,352526,0,b'stress-ng-aio',,,0,0
35678689912875,401563,3,191543140,0,b'stress-ng-aio',,,0,0
35678731575302,401556,3,233549975,0,b'stress-ng-aio',,,0,0
35678731832083,401543,3,19335,0,b'stress-ng-aio',,,0,0
35678731844663,401552,3,269361,0,b'stress-ng-aio',,,0,0
35678731879257,401543,3,22312,0,b'stress-ng-aio',,,0,0
35678948662495,401557,3,13979,0,b'stress-ng-aio',,,0,0
35678948674685,401547,3,437780,0,b'stress-ng-aio',,,0,0
35678948684172,401557,3,21677,0,b'stress-ng-aio',,,0,0
35678948692509,401547,3,17824,0,b'stress-ng-aio',,,0,0
35678948701312,401557,3,17140,0,b'stress-ng-aio',,,0,0
35678948710443,401547,3,17934,0,b'stress-ng-aio',,,0,0
35678948719858,401557,3,18546,0,b'stress-ng-aio',,,0,0
35679106809099,401545,3,277363,0,b'stress-ng-aio',,,0,0
35679106821973,401552,3,415925,0,b'stress-ng-aio',,,0,0
35679270742730,401548,3,73309,0,b'stress-ng-aio',,,0,0
35679270763332,401547,3,72072870,0,b'stress-ng-aio',,,0,0
35679270780146,401557,3,71998794,0,b'stress-ng-aio',,,0,0
35679270795111,401561,3,71947331,0,b'stress-ng-aio',,,0,0
35679270839541,401555,3,96811,0,b'stress-ng-aio',,,0,0
35679270856439,401559,3,163953308,0,b'stress-ng-aio',,,0,0
35679270871763,401547,3,71969307,0,b'stress-ng-aio',,,0,0
35679271254243,401548,3,397804,0,b'stress-ng-aio',,,0,0
35679271272492,401556,3,509160,0,b'stress-ng-aio',,,0,0
35679271281814,401559,3,454496,0,b'stress-ng-aio',,,0,0
35679271294887,401556,3,423124,0,b'stress-ng-aio',,,0,0
35679271308255,401559,3,26441,0,b'stress-ng-aio',,,0,0
35679271327038,401556,3,32151,0,b'stress-ng-aio',,,0,0
35679271335865,401559,3,27610,0,b'stress-ng-aio',,,0,0
35679271343616,401556,3,16578,0,b'stress-ng-aio',,,0,0
35679271354278,401559,3,18413,0,b'stress-ng-aio',,,0,0
35679271365326,401557,3,21710,0,b'stress-ng-aio',,,0,0
35679271379465,401562,3,584354,0,b'stress-ng-aio',,,0,0
35679271391704,401561,3,521431,0,b'stress-ng-aio',,,0,0
35679271408645,401546,3,600896,0,b'stress-ng-aio',,,0,0
35679479806298,401554,3,54173,0,b'stress-ng-aio',,,0,0
35679479900692,401546,3,640836,0,b'stress-ng-aio',,,0,0
35679648126206,401545,3,168304273,0,b'stress-ng-aio',,,0,0
35679648252652,401554,3,101603,0,b'stress-ng-aio',,,0,0
35679674922168,401547,3,65070,0,b'stress-ng-aio',,,0,0
35679674941771,401556,3,26689209,0,b'stress-ng-aio',,,0,0
35679674962083,401548,3,26733928,0,b'stress-ng-aio',,,0,0
35679674981977,401561,3,26801934,0,b'stress-ng-aio',,,0,0
35679831491673,401559,3,101522892,0,b'stress-ng-aio',,,0,0
35679831519111,401540,3,243601,0,b'stress-ng-aio',,,0,0
35679831540961,401558,3,156288651,0,b'stress-ng-aio',,,0,0
35678497536184,401559,0,246023,0,b'stress-ng-aio',,,0,0
35678497736220,401558,0,181933,0,b'stress-ng-aio',,,0,0
35678498124327,401556,0,19509,0,b'stress-ng-aio',,,0,0
35678498293863,401559,0,122074,0,b'stress-ng-aio',,,0,0
35678498316083,401558,0,111137,0,b'stress-ng-aio',,,0,0
35678689891829,401559,0,191553977,0,b'stress-ng-aio',,,0,0
35678690092985,401558,0,111438,0,b'stress-ng-aio',,,0,0
35678731550646,401550,0,233477388,0,b'stress-ng-aio',,,0,0
35678731684923,401546,0,104798,0,b'stress-ng-aio',,,0,0
35678831419599,401558,0,99510856,0,b'stress-ng-aio',,,0,0
35678831436687,401543,0,50847,0,b'stress-ng-aio',,,0,0
35678948174204,401549,0,216489281,0,b'stress-ng-aio',,,0,0
35678948273837,401558,0,8103669,0,b'stress-ng-aio',,,0,0
35678948293510,401563,0,116856823,0,b'stress-ng-aio',,,0,0
35678948632691,401550,0,318431,0,b'stress-ng-aio',,,0,0
35679106849748,401541,0,456768,0,b'stress-ng-aio',,,0,0
35679106871254,401542,0,435761,0,b'stress-ng-aio',,,0,0
35679270870273,401549,0,164040982,0,b'stress-ng-aio',,,0,0
35679271206303,401558,0,323518,0,b'stress-ng-aio',,,0,0
35679648188183,401562,0,168271679,0,b'stress-ng-aio',,,0,0
35679648207574,401556,0,126785732,0,b'stress-ng-aio',,,0,0
35679648228155,401547,0,126810576,0,b'stress-ng-aio',,,0,0
35679648252562,401553,0,126972809,0,b'stress-ng-aio',,,0,0
35679831439666,401563,0,101456593,0,b'stress-ng-aio',,,0,0
35679831459475,401555,0,101494043,0,b'stress-ng-aio',,,0,0
35679831746855,401540,0,46890,0,b'stress-ng-aio',,,0,0
35679831765633,401554,0,54641,0,b'stress-ng-aio',,,0,0
35679937391683,401548,0,12338748,0,b'stress-ng-aio',,,0,0
35679937466748,401554,0,105539322,0,b'stress-ng-aio',,,0,0
35679937490490,401555,0,105708733,0,b'stress-ng-aio',,,0,0
35679937765324,401556,0,356169,0,b'stress-ng-aio',,,0,0
35680033352214,401543,0,178269,0,b'stress-ng-aio',,,0,0
35678497753407,401549,1,461601,0,b'stress-ng-aio',,,0,0
35678497957937,401542,1,221110,0,b'stress-ng-aio',,,0,0
35678689859019,401552,1,191898824,0,b'stress-ng-aio',,,0,0
35678689887253,401555,1,84594,0,b'stress-ng-aio',,,0,0
35678689973899,401555,1,44538,0,b'stress-ng-aio',,,0,0
35678731653977,401542,1,233900570,0,b'stress-ng-aio',,,0,0
35678948343104,401556,1,43551,0,b'stress-ng-aio',,,0,0
35679831699965,401559,1,130842,0,b'stress-ng-aio',,,0,0
35679937709688,401547,1,223865,0,b'stress-ng-aio',,,0,0
35679937734585,401559,1,349583,0,b'stress-ng-aio',,,0,0
35679937825955,401563,1,21649,0,b'stress-ng-aio',,,0,0
35679937846062,401561,1,42609,0,b'stress-ng-aio',,,0,0
