PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
401543,b'stress-ng-aio', 59787459720,99.84,0.16,34671
401554,b'stress-ng-aio', 59606490182,99.84,0.16,36534
401548,b'stress-ng-aio', 59606560719,99.85,0.15,34715
401545,b'stress-ng-aio', 59982083144,99.87,0.13,38343
401544,b'stress-ng-aio', 59915571744,99.84,0.16,34731
401563,b'stress-ng-aio', 59787468876,99.85,0.15,36230
401556,b'stress-ng-aio', 59915257982,99.82,0.18,38795
401557,b'stress-ng-aio', 59915159898,99.84,0.16,39474
401552,b'stress-ng-aio', 59787707549,99.81,0.19,32637
401547,b'stress-ng-aio', 59982150252,99.85,0.15,39986
401546,b'stress-ng-aio', 59787829457,99.83,0.17,37627
401553,b'stress-ng-aio', 59982041578,99.85,0.15,37262
401561,b'stress-ng-aio', 59981833519,99.83,0.17,34863
401555,b'stress-ng-aio', 59606304962,99.85,0.15,34137
401559,b'stress-ng-aio', 59787267385,99.86,0.14,35814
401550,b'stress-ng-aio', 59606523434,99.84,0.16,40137
401562,b'stress-ng-aio', 59353789326,99.86,0.14,37248
401558,b'stress-ng-aio', 58523152126,99.84,0.16,35183
401560,b'stress-ng-aio', 59914909361,99.83,0.17,34214
401540,b'stress-ng-aio', 59915606607,99.88,0.12,34602
401541,b'stress-ng-aio', 59915500412,99.89,0.11,38959
401549,b'stress-ng-aio', 59915182672,99.85,0.15,36977
401542,b'stress-ng-aio', 59606364505,99.85,0.15,33524
401551,b'stress-ng-aio', 59915523957,99.85,0.15,38916
