PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
431788,b'stress-ng-aio', 59060233711,99.58,0.42,99188
431806,b'stress-ng-aio', 59534938989,99.56,0.44,61187
431805,b'stress-ng-aio', 59260129112,99.40,0.60,82952
431799,b'stress-ng-aio', 59534589485,99.64,0.36,72056
431807,b'stress-ng-aio', 59372942155,99.60,0.40,79833
431808,b'stress-ng-aio', 59260035742,99.51,0.49,72346
431790,b'stress-ng-aio', 59260125698,99.67,0.33,101707
431809,b'stress-ng-aio', 59535034988,99.67,0.33,70234
431794,b'stress-ng-aio', 59534472885,99.59,0.41,84750
431795,b'stress-ng-aio', 59534812429,99.57,0.43,81554
431797,b'stress-ng-aio', 59260025824,99.59,0.41,74923
431786,b'stress-ng-aio', 59260271272,99.63,0.37,87924
431789,b'stress-ng-aio', 59373509063,99.62,0.38,78811
431791,b'stress-ng-aio', 59535031869,99.63,0.37,83026
431792,b'stress-ng-aio', 59534975555,99.48,0.52,92486
431796,b'stress-ng-aio', 59534254233,99.48,0.52,77645
431810,b'stress-ng-aio', 59534760811,99.59,0.41,81570
431800,b'stress-ng-aio', 59663672032,99.48,0.52,84126
431793,b'stress-ng-aio', 59373264402,99.53,0.47,92271
431802,b'stress-ng-aio', 59534814451,99.58,0.42,80276
431803,b'stress-ng-aio', 59534876881,99.67,0.33,84533
431801,b'stress-ng-aio', 59634918245,99.61,0.39,89509
431798,b'stress-ng-aio', 59634909820,99.61,0.39,87533
431787,b'stress-ng-aio', 59373467156,99.54,0.46,88272
