timestamp_ns,pid,cpu,refs,misses,cache_level,comm
80567004338476,277332,1,133778,0,0,b'stress-ng-aio'
80567004461234,277338,3,110155,0,0,b'stress-ng-aio'
80567005106113,277335,3,502609,0,0,b'stress-ng-aio'
80567162706209,277342,3,1343197,0,0,b'stress-ng-aio'
80567162998988,277340,3,0,37914,0,b'stress-ng-aio'
80567382475887,277336,3,0,48738,0,b'stress-ng-aio'
80567382492333,277347,1,0,104773,0,b'stress-ng-aio'
80567522345876,277350,1,315746,0,0,b'stress-ng-aio'
80567633038415,277352,1,0,127912,0,b'stress-ng-aio'
80567723097827,277346,0,524853,0,0,b'stress-ng-aio'
80567722582015,277352,1,483338,0,0,b'stress-ng-aio'
80567722932773,277349,4,0,151638,0,b'stress-ng-aio'
80567814520394,277342,0,0,179658,0,b'stress-ng-aio'
80567913888408,277351,1,0,133666,0,b'stress-ng-aio'
80567944668320,277335,1,426131,0,0,b'stress-ng-aio'
80568130548396,277332,3,1236628,0,0,b'stress-ng-aio'
80568280339775,277339,1,452947,0,0,b'stress-ng-aio'
80568397578734,277338,0,801336,0,0,b'stress-ng-aio'
80568497704780,277329,1,814287,0,0,b'stress-ng-aio'
80568895990666,277336,3,0,146661,0,b'stress-ng-aio'
80568997079396,277339,0,0,185569,0,b'stress-ng-aio'
80568997099956,277345,1,447239,0,0,b'stress-ng-aio'
80568997256553,277351,0,854444,0,0,b'stress-ng-aio'
80569213700404,277350,1,0,111191,0,b'stress-ng-aio'
80569312639806,277330,0,803866,0,0,b'stress-ng-aio'
80569413781889,277338,3,0,189132,0,b'stress-ng-aio'
80569520775718,277343,4,0,231723,0,b'stress-ng-aio'
80569520780553,277345,0,0,70277,0,b'stress-ng-aio'
80569730439062,277330,2,0,230819,0,b'stress-ng-aio'
80569853650960,277337,0,836564,0,0,b'stress-ng-aio'
80570187033933,277349,2,1495825,0,0,b'stress-ng-aio'
80570287545354,277333,1,0,88138,0,b'stress-ng-aio'
80570574462149,277342,1,0,148694,0,b'stress-ng-aio'
80570788395496,277333,0,351856,0,0,b'stress-ng-aio'
80571005686698,277330,3,802650,0,0,b'stress-ng-aio'
80571099877758,277343,2,0,162609,0,b'stress-ng-aio'
80571102851516,277330,1,461257,0,0,b'stress-ng-aio'
80571213278825,277339,4,0,92472,0,b'stress-ng-aio'
80571215205413,277338,1,0,87690,0,b'stress-ng-aio'
80571316962823,277334,1,398696,0,0,b'stress-ng-aio'
80571516529556,277330,4,0,135512,0,b'stress-ng-aio'
80571615930302,277331,1,537469,0,0,b'stress-ng-aio'
80571716231712,277333,1,0,125986,0,b'stress-ng-aio'
80571739219839,277333,2,0,131758,0,b'stress-ng-aio'
80571822563651,277335,0,0,166343,0,b'stress-ng-aio'
80571822627997,277346,3,1168846,0,0,b'stress-ng-aio'
80571921673450,277343,2,1150911,0,0,b'stress-ng-aio'
80572122278798,277335,1,393457,0,0,b'stress-ng-aio'
80572122717120,277332,4,969862,0,0,b'stress-ng-aio'
80572139612228,277332,4,0,103802,0,b'stress-ng-aio'
80572222455486,277347,3,986630,0,0,b'stress-ng-aio'
80572222615431,277351,3,0,98733,0,b'stress-ng-aio'
80572222807716,277332,5,0,128943,0,b'stress-ng-aio'
80572321879830,277331,0,0,135138,0,b'stress-ng-aio'
80572322587282,277329,1,0,96918,0,b'stress-ng-aio'
