timestamp_ns,pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,wait_type,next_pid
1803020194315,26638,1,20974,0,b'stress-ng-cpu',,,0,0
1803030005925,26642,1,4158188,0,b'stress-ng-cpu',,,0,0
1803031006578,26646,1,3000701,0,b'stress-ng-cpu',,,0,0
1803035006812,26642,1,11000518,0,b'stress-ng-cpu',,,0,0
1803039005619,26638,1,7999041,0,b'stress-ng-cpu',,,0,0
1803042005810,26646,1,11999885,0,b'stress-ng-cpu',,,0,0
1803045006771,26638,1,9999959,0,b'stress-ng-cpu',,,0,0
1803049005745,26642,1,6999935,0,b'stress-ng-cpu',,,0,0
1803052005634,26646,1,13000015,0,b'stress-ng-cpu',,,0,0
1803055009188,26642,1,10002417,0,b'stress-ng-cpu',,,0,0
1803059008098,26638,1,7002464,0,b'stress-ng-cpu',,,0,0
1803063006138,26646,1,14000393,0,b'stress-ng-cpu',,,0,0
1803065625834,26642,1,44888607,0,b'stress-ng-cpu',,,0,0
1803070100007,26638,1,4474173,0,b'stress-ng-cpu',,,0,0
1803074009458,26646,1,11003320,0,b'stress-ng-cpu',,,0,0
1803081006176,26638,1,11998612,0,b'stress-ng-cpu',,,0,0
1803469005543,26629,1,102995663,0,b'stress-ng-cpu',,,0,0
1803473006242,26638,1,11000573,0,b'stress-ng-cpu',,,0,0
1803477005348,26629,1,7999805,0,b'stress-ng-cpu',,,0,0
1803480005433,26638,1,6999191,0,b'stress-ng-cpu',,,0,0
1803484006474,26629,1,7001126,0,b'stress-ng-cpu',,,0,0
1803488005525,26638,1,8000092,0,b'stress-ng-cpu',,,0,0
1803491005111,26629,1,6998637,0,b'stress-ng-cpu',,,0,0
1803494005239,26638,1,5999714,0,b'stress-ng-cpu',,,0,0
1803498005601,26629,1,7000490,0,b'stress-ng-cpu',,,0,0
1803502005403,26638,1,8000164,0,b'stress-ng-cpu',,,0,0
1803505005250,26629,1,6999649,0,b'stress-ng-cpu',,,0,0
1803509005006,26638,1,6999603,0,b'stress-ng-cpu',,,0,0
1803512004939,26629,1,6999689,0,b'stress-ng-cpu',,,0,0
1803515005102,26638,1,6000096,0,b'stress-ng-cpu',,,0,0
1803518005055,26629,1,6000116,0,b'stress-ng-cpu',,,0,0
1803521005133,26638,1,6000031,0,b'stress-ng-cpu',,,0,0
1803593015281,26649,1,75010226,0,b'stress-ng-cpu',,,0,0
1803597005881,26638,1,20001881,0,b'stress-ng-cpu',,,0,0
1803602005623,26649,1,8990342,0,b'stress-ng-cpu',,,0,0
1803606005775,26638,1,8999894,0,b'stress-ng-cpu',,,0,0
1803610005593,26649,1,7999970,0,b'stress-ng-cpu',,,0,0
1803614005763,26638,1,7999988,0,b'stress-ng-cpu',,,0,0
1803617004988,26649,1,6999395,0,b'stress-ng-cpu',,,0,0
1803620005175,26638,1,5999412,0,b'stress-ng-cpu',,,0,0
1803623007232,26649,1,6002244,0,b'stress-ng-cpu',,,0,0
1803627005263,26638,1,7000088,0,b'stress-ng-cpu',,,0,0
1803630004802,26649,1,6997570,0,b'stress-ng-cpu',,,0,0
1803633004855,26638,1,5999592,0,b'stress-ng-cpu',,,0,0
1803636005199,26649,1,6000397,0,b'stress-ng-cpu',,,0,0
1803640004963,26638,1,7000108,0,b'stress-ng-cpu',,,0,0
1803643005882,26649,1,7000683,0,b'stress-ng-cpu',,,0,0
1803647005413,26638,1,7000450,0,b'stress-ng-cpu',,,0,0
1803653005484,26649,1,9999602,0,b'stress-ng-cpu',,,0,0
1803656004946,26638,1,8999533,0,b'stress-ng-cpu',,,0,0
1803660005185,26649,1,6999701,0,b'stress-ng-cpu',,,0,0
1803664005047,26638,1,8000101,0,b'stress-ng-cpu',,,0,0
1803667005428,26649,1,7000243,0,b'stress-ng-cpu',,,0,0
1803671005030,26638,1,6999983,0,b'stress-ng-cpu',,,0,0
1803674005180,26649,1,6999752,0,b'stress-ng-cpu',,,0,0
1803678005090,26638,1,7000060,0,b'stress-ng-cpu',,,0,0
1803682006714,26649,1,8001534,0,b'stress-ng-cpu',,,0,0
1803686005683,26638,1,8000593,0,b'stress-ng-cpu',,,0,0
1803689005294,26649,1,6998580,0,b'stress-ng-cpu',,,0,0
1803693005140,26638,1,6999457,0,b'stress-ng-cpu',,,0,0
1803699005050,26649,1,9999756,0,b'stress-ng-cpu',,,0,0
1803702004938,26638,1,8999798,0,b'stress-ng-cpu',,,0,0
1803705006155,26649,1,6001105,0,b'stress-ng-cpu',,,0,0
1803709005839,26638,1,7000901,0,b'stress-ng-cpu',,,0,0
1803713005445,26649,1,7999290,0,b'stress-ng-cpu',,,0,0
1803716004921,26638,1,6999082,0,b'stress-ng-cpu',,,0,0
1803719005317,26649,1,5999872,0,b'stress-ng-cpu',,,0,0
1803723005321,26638,1,7000400,0,b'stress-ng-cpu',,,0,0
1803727005373,26649,1,8000056,0,b'stress-ng-cpu',,,0,0
