PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
258433,b'stress-ng-aio', 59804867457,99.44,0.56,7020
258439,b'stress-ng-cpu', 59804743205,69.60,30.40,101087
258451,b'stress-ng-aio', 59291100106,99.17,0.83,5948
258442,b'stress-ng-aio', 59804150743,99.39,0.61,7169
258449,b'stress-ng-aio', 59804064810,99.36,0.64,7108
258432,b'stress-ng-cpu', 59801776402,44.66,55.34,81353
258447,b'stress-ng-aio', 59808761364,99.69,0.31,7566
258453,b'stress-ng-aio', 59809305179,99.58,0.42,5117
258430,b'stress-ng-aio', 59804275197,99.62,0.38,7888
258431,b'stress-ng-cpu', 59801360642,59.02,40.98,91927
258436,b'stress-ng-aio', 59804536762,99.50,0.50,6700
258438,b'stress-ng-aio', 59809584955,99.55,0.45,7659
258444,b'stress-ng-aio', 59804893725,99.27,0.73,6916
258434,b'stress-ng-aio', 59808933166,99.46,0.54,5856
258452,b'stress-ng-aio', 59808912059,99.40,0.60,7095
258450,b'stress-ng-aio', 60051178307,99.54,0.46,5422
258441,b'stress-ng-cpu', 59804134408,58.14,41.86,116275
258435,b'stress-ng-cpu', 59804839347,22.53,77.47,93641
258445,b'stress-ng-aio', 59806366470,99.39,0.61,3969
258448,b'stress-ng-aio', 59641057488,99.43,0.57,4362
258446,b'stress-ng-aio', 59797636227,99.63,0.37,5310
258437,b'stress-ng-cpu', 59798961653,62.20,37.80,96393
258443,b'stress-ng-aio', 59803281915,99.35,0.65,7423
258440,b'stress-ng-aio', 59802751817,99.51,0.49,7513
