timestamp_ns,waker_pid,target_pid,cpu,latency_ns,waker_comm,target_comm,waker_kernel_stack,target_state,waker_cpu,target_cpu
9177018199211,122736,122663,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018220445,122736,122664,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018224316,122736,122665,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018250876,122736,122666,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018256304,122736,122667,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018261374,122736,122668,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018267421,122736,122669,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018273754,122736,122670,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018279448,122736,122671,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018284854,122736,122672,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018290327,122736,122673,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018296181,122736,122674,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018301760,122736,122675,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018307523,122736,122676,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018313188,122736,122677,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018318779,122736,122678,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018324481,122736,122679,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018330250,122736,122680,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018335853,122736,122681,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018341666,122736,122682,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018347678,122736,122683,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018353656,122736,122684,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018359177,122736,122685,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
9177018364634,122736,122686,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
