timestamp_ns,waker_pid,target_pid,cpu,latency_ns,waker_comm,target_comm,waker_kernel_stack,target_state,waker_cpu,target_cpu
8938413802767,0,119826,1,0,b'swapper/1',b'stress-ng-ring-',,0,0,1
8938413777356,0,119828,2,0,b'swapper/2',b'stress-ng-ring-',,0,0,2
8938413802899,0,119827,3,0,b'swapper/3',b'stress-ng-ring-',,0,0,3
8938413806466,0,119831,3,0,b'swapper/3',b'stress-ng-ring-',,0,0,3
8938413808640,0,119832,3,0,b'swapper/3',b'stress-ng-ring-',,0,0,3
8938413776076,0,119829,4,0,b'swapper/4',b'stress-ng-ring-',,0,0,4
8938413802769,0,119830,5,0,b'swapper/5',b'stress-ng-ring-',,0,0,5
8938413799096,119901,119833,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413809881,119901,119834,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413815643,119901,119835,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413826422,119901,119836,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413831963,119901,119837,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413836797,119901,119838,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413842816,119901,119839,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413849005,119901,119840,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413854701,119901,119841,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413860344,119901,119842,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413866331,119901,119843,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413871956,119901,119844,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413877964,119901,119845,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413883480,119901,119846,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413888996,119901,119847,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413894169,119901,119848,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
8938413900434,119901,119849,6,0,b'pkill',b'stress-ng-ring-',,0,0,6
