PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
266532,b'stress-ng-cpu', 59814001386,70.44,29.56,3370471
266531,b'stress-ng-aio', 59814858694,99.94,0.06,995111
266541,b'stress-ng-aio', 59818072501,99.94,0.06,1074578
266535,b'stress-ng-cpu', 59812996477,69.14,30.86,3339047
266534,b'stress-ng-aio', 59872655710,99.94,0.06,1016418
266536,b'stress-ng-aio', 59830739418,99.94,0.06,1010203
266538,b'stress-ng-aio', 59872359043,99.93,0.07,1014665
266539,b'stress-ng-aio', 59817811370,99.94,0.06,1041435
266537,b'stress-ng-cpu', 59816998111,69.80,30.20,3395150
266533,b'stress-ng-cpu', 59815984354,70.44,29.56,3383907
266540,b'stress-ng-cpu', 59811998331,69.32,30.68,3399531
266544,b'stress-ng-aio', 59826851648,99.94,0.06,1041967
266542,b'stress-ng-cpu', 59818986150,70.58,29.42,3354628
266549,b'stress-ng-aio', 59826627852,99.93,0.07,996255
266543,b'stress-ng-aio', 59387517317,99.93,0.07,985823
266551,b'stress-ng-aio', 59827529629,99.94,0.06,1060476
266546,b'stress-ng-aio', 59827270417,99.94,0.06,1033860
266548,b'stress-ng-aio', 59826275506,99.93,0.07,1050317
266553,b'stress-ng-cpu', 59816001338,72.66,27.34,2978623
266552,b'stress-ng-cpu', 59822183544,72.02,27.98,3001121
266550,b'stress-ng-cpu', 59816000144,72.58,27.42,3104351
266545,b'stress-ng-cpu', 59819237829,71.28,28.72,3222548
266547,b'stress-ng-cpu', 59809001201,70.50,29.50,3247840
266554,b'stress-ng-cpu', 59810001945,72.48,27.52,2954831
