PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
46634,b'stress-ng-cpu', 57314998039,67.02,32.98,2116094
46631,b'stress-ng-aio', 57315827096,99.94,0.06,1189376
46642,b'stress-ng-cpu', 57345991619,68.20,31.80,2137833
46620,b'stress-ng-cpu', 57330997980,67.08,32.92,2144756
46638,b'stress-ng-cpu', 57341996935,66.43,33.57,2137728
46626,b'stress-ng-cpu', 57336000711,66.49,33.51,2131872
46624,b'stress-ng-cpu', 57331997565,66.75,33.25,2098917
46622,b'stress-ng-cpu', 57284996999,66.93,33.07,2145896
46640,b'stress-ng-cpu', 57338995067,66.42,33.58,2119776
46630,b'stress-ng-cpu', 57271999876,66.28,33.72,2128150
46632,b'stress-ng-cpu', 57289984370,66.36,33.64,2136297
46636,b'stress-ng-cpu', 57313032248,69.20,30.80,2111642
46628,b'stress-ng-cpu', 57342998734,71.02,28.98,2126610
46641,b'stress-ng-aio', 56792927088,99.92,0.08,1210410
46633,b'stress-ng-aio', 54353837518,99.94,0.06,1148904
46635,b'stress-ng-aio', 57019656489,99.90,0.10,1148731
46639,b'stress-ng-aio', 56119928723,99.93,0.07,1247432
46643,b'stress-ng-aio', 56534827840,99.94,0.06,1239836
46629,b'stress-ng-aio', 56665121016,99.93,0.07,1257446
46621,b'stress-ng-aio', 56666100977,99.92,0.08,1247152
46627,b'stress-ng-aio', 57315817235,99.94,0.06,1291995
46637,b'stress-ng-aio', 56119845317,99.92,0.08,1170545
46625,b'stress-ng-aio', 57141003790,99.92,0.08,1134926
46623,b'stress-ng-aio', 56119803203,99.92,0.08,1133179
