PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
407773,b'stress-ng-aio', 59159746620,99.91,0.09,68503
407788,b'stress-ng-aio', 59434233307,99.90,0.10,91997
407774,b'stress-ng-aio', 59673775335,99.92,0.08,76166
407787,b'stress-ng-aio', 59672773910,99.93,0.07,89284
407775,b'stress-ng-aio', 59673593563,99.91,0.09,80334
407782,b'stress-ng-aio', 59483593489,99.92,0.08,89350
407783,b'stress-ng-aio', 59483553585,99.90,0.10,91477
407791,b'stress-ng-aio', 59698396824,99.92,0.08,67360
407779,b'stress-ng-aio', 59483356192,99.89,0.11,84043
407781,b'stress-ng-aio', 59483419545,99.87,0.13,84844
407794,b'stress-ng-aio', 59698019123,99.92,0.08,69212
407776,b'stress-ng-aio', 59673482378,99.90,0.10,78008
407790,b'stress-ng-aio', 59672727612,99.92,0.08,68214
407792,b'stress-ng-aio', 59483767570,99.92,0.08,74922
407793,b'stress-ng-aio', 59159219304,99.92,0.08,70163
407784,b'stress-ng-aio', 59673539138,99.93,0.07,89225
407786,b'stress-ng-aio', 59673026377,99.89,0.11,78890
407780,b'stress-ng-aio', 59672680333,99.90,0.10,80218
407785,b'stress-ng-aio', 59672763797,99.92,0.08,79365
407771,b'stress-ng-aio', 59434828522,99.90,0.10,66445
407778,b'stress-ng-aio', 59159424353,99.90,0.10,80500
407789,b'stress-ng-aio', 59699014105,99.91,0.09,64475
407777,b'stress-ng-aio', 59699184990,99.88,0.12,76832
407772,b'stress-ng-aio', 59673769537,99.90,0.10,86827
