PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
279957,b'stress-ng-cpu', 59706150648,72.53,27.47,2461201
279967,b'stress-ng-cpu', 59702996206,73.80,26.20,2429549
279958,b'stress-ng-aio', 59705757360,99.94,0.06,2091493
279970,b'stress-ng-aio', 59700585575,99.95,0.05,2067031
279959,b'stress-ng-cpu', 59706005311,72.53,27.47,2418218
279952,b'stress-ng-aio', 59706284902,99.94,0.06,2058533
279968,b'stress-ng-aio', 59706127124,99.94,0.06,2092200
279964,b'stress-ng-aio', 59705583535,99.94,0.06,2081196
279962,b'stress-ng-aio', 59704498833,99.95,0.05,2113054
279972,b'stress-ng-aio', 59705999706,99.95,0.05,2093248
279956,b'stress-ng-aio', 59705192367,99.94,0.06,2116745
279966,b'stress-ng-aio', 59614229282,99.94,0.06,2050525
279955,b'stress-ng-aio', 59705543559,99.94,0.06,2108388
279960,b'stress-ng-aio', 59706210801,99.95,0.05,2053283
279953,b'stress-ng-aio', 59705932460,99.95,0.05,2034717
279971,b'stress-ng-cpu', 59705899743,72.34,27.66,2438876
279973,b'stress-ng-cpu', 59704892098,72.90,27.10,2436270
279965,b'stress-ng-cpu', 59700019549,73.56,26.44,2411385
279963,b'stress-ng-cpu', 59686995752,72.60,27.40,2400606
279961,b'stress-ng-cpu', 59702290373,73.12,26.88,2426010
279969,b'stress-ng-cpu', 59700286910,73.66,26.34,2414303
279975,b'stress-ng-cpu', 59699555700,72.66,27.34,2429563
279974,b'stress-ng-cpu', 59696020822,72.55,27.45,2421740
279954,b'stress-ng-cpu', 59695998179,71.99,28.01,2423961
