timestamp_ns,pid,prev_pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,next_pid,next_comm
1913695005515,27835,27827,0,14707651,0,b'stress-ng-cpu',,,0,b''
1913867005866,27835,27824,0,8999875,0,b'stress-ng-cpu',,,0,b''
1913872005127,27824,27835,0,8987680,0,b'stress-ng-cpu',,,0,b''
1913875006012,27835,27824,0,8000146,0,b'stress-ng-cpu',,,0,b''
1913879007403,27824,27835,0,7002276,0,b'stress-ng-cpu',,,0,b''
1913883005088,27835,27824,0,7999076,0,b'stress-ng-cpu',,,0,b''
1913886005200,27824,27835,0,6997797,0,b'stress-ng-cpu',,,0,b''
1913889005492,27835,27824,0,6000404,0,b'stress-ng-cpu',,,0,b''
1913893005430,27824,27835,0,7000230,0,b'stress-ng-cpu',,,0,b''
1913897005216,27835,27824,0,2989439,0,b'stress-ng-cpu',,,0,b''
1913901004988,27824,27835,0,7999558,0,b'stress-ng-cpu',,,0,b''
1913904005432,27835,27824,0,7000216,0,b'stress-ng-cpu',,,0,b''
1913908005117,27824,27835,0,7000129,0,b'stress-ng-cpu',,,0,b''
1913915005144,27835,27824,0,10999712,0,b'stress-ng-cpu',,,0,b''
1913920022079,27840,27835,0,12016962,0,b'stress-ng-cpu',,,0,b''
1913924005820,27823,27840,0,38000210,0,b'stress-ng-cpu',,,0,b''
1913928005672,27835,27823,0,37999512,0,b'stress-ng-cpu',,,0,b''
1913929005697,27824,27835,0,8983618,0,b'stress-ng-cpu',,,0,b''
1913932011996,27835,27824,0,17006852,0,b'stress-ng-cpu',,,0,b''
1913936005122,27824,27835,0,6999425,0,b'stress-ng-cpu',,,0,b''
1913942005711,27835,27824,0,9993715,0,b'stress-ng-cpu',,,0,b''
1913946005745,27824,27835,0,10000623,0,b'stress-ng-cpu',,,0,b''
1913949005402,27835,27824,0,6999691,0,b'stress-ng-cpu',,,0,b''
1913953005542,27824,27835,0,6999797,0,b'stress-ng-cpu',,,0,b''
1913957015807,27843,27824,0,8010405,0,b'stress-ng-cpu',,,0,b''
1913961006312,27835,27843,0,13000614,0,b'stress-ng-cpu',,,0,b''
1913965006291,27824,27835,0,12000749,0,b'stress-ng-cpu',,,0,b''
1913968005809,27843,27824,0,10990002,0,b'stress-ng-cpu',,,0,b''
1913971005589,27835,27843,0,9999277,0,b'stress-ng-cpu',,,0,b''
1913974006957,27824,27835,0,9000666,0,b'stress-ng-cpu',,,0,b''
1913978010207,27843,27824,0,10004398,0,b'stress-ng-cpu',,,0,b''
1913982010419,27835,27843,0,11004830,0,b'stress-ng-cpu',,,0,b''
1913986007115,27824,27835,0,12000158,0,b'stress-ng-cpu',,,0,b''
1913989005857,27843,27824,0,10995650,0,b'stress-ng-cpu',,,0,b''
1913992005859,27835,27843,0,9995440,0,b'stress-ng-cpu',,,0,b''
1913995005516,27843,27835,0,8998401,0,b'stress-ng-cpu',,,0,b''
1913998005618,27835,27843,0,5999759,0,b'stress-ng-cpu',,,0,b''
1914002009307,27843,27835,0,7003791,0,b'stress-ng-cpu',,,0,b''
1914006006444,27835,27843,0,8000826,0,b'stress-ng-cpu',,,0,b''
1914009006531,27843,27835,0,6997224,0,b'stress-ng-cpu',,,0,b''
1914013005472,27835,27843,0,6999028,0,b'stress-ng-cpu',,,0,b''
1914020006157,27843,27835,0,10999626,0,b'stress-ng-cpu',,,0,b''
