timestamp_ns,pid,cpu,refs,misses,cache_level,comm
38457579365279,433084,0,0,567,0,b'stress-ng-aio'
38457579382963,433084,0,0,11048,0,b'stress-ng-aio'
38457580014827,433074,0,3042,0,0,b'stress-ng-aio'
38457580065416,433074,0,3042,0,0,b'stress-ng-aio'
38457580073830,433074,0,10178,0,0,b'stress-ng-aio'
38457580109801,433090,0,159736,0,0,b'stress-ng-aio'
38457638640163,433075,0,438694,0,0,b'stress-ng-cpu'
38457639342018,433075,0,466323,0,0,b'stress-ng-cpu'
38457640043167,433075,0,510627,0,0,b'stress-ng-cpu'
38457640795671,433075,0,537838,0,0,b'stress-ng-cpu'
38457641941397,433075,0,571703,0,0,b'stress-ng-cpu'
38457695733759,433075,0,0,30855,0,b'stress-ng-cpu'
38457696886500,433075,0,547435,0,0,b'stress-ng-cpu'
38457698057796,433075,0,543909,0,0,b'stress-ng-cpu'
38457699320190,433075,0,521130,0,0,b'stress-ng-cpu'
38457754596028,433075,0,493841,0,0,b'stress-ng-cpu'
38457755814931,433075,0,488602,0,0,b'stress-ng-cpu'
38457756558125,433075,0,467130,0,0,b'stress-ng-cpu'
38457757189823,433075,0,516006,0,0,b'stress-ng-cpu'
38457757861397,433075,0,553608,0,0,b'stress-ng-cpu'
38457812693763,433075,0,607918,0,0,b'stress-ng-cpu'
38457813940250,433075,0,614237,0,0,b'stress-ng-cpu'
38457815205905,433075,0,563757,0,0,b'stress-ng-cpu'
38457870048533,433073,0,563081,0,0,b'stress-ng-cpu'
38457871052387,433073,0,564227,0,0,b'stress-ng-cpu'
38457872149216,433073,0,562129,0,0,b'stress-ng-cpu'
38457873128520,433073,0,552353,0,0,b'stress-ng-cpu'
38457928031448,433081,0,561353,0,0,b'stress-ng-cpu'
38457928913070,433081,0,0,4798,0,b'stress-ng-cpu'
38457929082830,433081,0,560008,0,0,b'stress-ng-cpu'
38457930140344,433081,0,551050,0,0,b'stress-ng-cpu'
38457931104869,433081,0,548190,0,0,b'stress-ng-cpu'
38457931906415,433081,0,550715,0,0,b'stress-ng-cpu'
38457986699533,433081,0,581926,0,0,b'stress-ng-cpu'
38457987044950,433081,0,0,2980,0,b'stress-ng-cpu'
38457987588264,433081,0,595199,0,0,b'stress-ng-cpu'
