PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
29492,b'stress-ng-aio', 59672685871,99.82,0.18,219644
29489,b'stress-ng-aio', 59646882453,99.83,0.17,239766
29494,b'stress-ng-aio', 59564799023,99.83,0.17,219117
29500,b'stress-ng-aio', 59645991195,99.82,0.18,229653
29505,b'stress-ng-aio', 59646002834,99.82,0.18,184328
29499,b'stress-ng-aio', 59646378020,99.83,0.17,219693
29497,b'stress-ng-aio', 59646469058,99.81,0.19,226383
29484,b'stress-ng-aio', 59672956081,99.79,0.21,206268
29486,b'stress-ng-aio', 59568856456,99.81,0.19,204483
29504,b'stress-ng-aio', 59672356067,99.85,0.15,220955
29491,b'stress-ng-aio', 59647072142,99.84,0.16,191169
29483,b'stress-ng-aio', 59672862973,99.85,0.15,217079
29493,b'stress-ng-aio', 59672206634,99.84,0.16,219128
29485,b'stress-ng-aio', 59673120677,99.84,0.16,210487
29490,b'stress-ng-aio', 59646826038,99.84,0.16,223929
29502,b'stress-ng-aio', 59567670994,99.85,0.15,229282
29501,b'stress-ng-aio', 59646511933,99.86,0.14,219341
29506,b'stress-ng-aio', 59645818006,99.83,0.17,220868
29498,b'stress-ng-aio', 59646753768,99.83,0.17,201175
29488,b'stress-ng-aio', 59646389545,99.83,0.17,228674
29503,b'stress-ng-aio', 59672470720,99.86,0.14,211967
29487,b'stress-ng-aio', 59672542507,99.81,0.19,213986
29495,b'stress-ng-aio', 59672742571,99.85,0.15,221809
29496,b'stress-ng-aio', 59421064324,99.83,0.17,216807
