PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
263869,b'stress-ng-aio', 59833000302,99.90,0.10,40998
263874,b'stress-ng-aio', 59910131416,99.88,0.12,43662
263875,b'stress-ng-aio', 59909941464,99.89,0.11,39470
263873,b'stress-ng-aio', 59909905272,99.90,0.10,43706
263890,b'stress-ng-aio', 59909540738,99.88,0.12,48998
263870,b'stress-ng-aio', 59909991967,99.82,0.18,46266
263883,b'stress-ng-aio', 59861292512,99.84,0.16,41681
263876,b'stress-ng-aio', 59909891057,99.87,0.13,45872
263871,b'stress-ng-aio', 59910265003,99.87,0.13,43827
263880,b'stress-ng-aio', 59909733918,99.90,0.10,45008
263888,b'stress-ng-aio', 59861018024,99.87,0.13,49574
263872,b'stress-ng-aio', 59910251878,99.87,0.13,42875
263879,b'stress-ng-aio', 59910067224,99.90,0.10,40893
263878,b'stress-ng-aio', 59909842026,99.91,0.09,42125
263877,b'stress-ng-aio', 59909569883,99.85,0.15,46062
263892,b'stress-ng-aio', 59861163628,99.85,0.15,47638
263891,b'stress-ng-aio', 59909338087,99.89,0.11,40455
263885,b'stress-ng-aio', 59909249760,99.88,0.12,45715
263887,b'stress-ng-aio', 59940169927,99.92,0.08,40858
263889,b'stress-ng-aio', 59909421689,99.91,0.09,38234
263882,b'stress-ng-aio', 59860834434,99.91,0.09,44304
263881,b'stress-ng-aio', 59909209541,99.90,0.10,41601
263886,b'stress-ng-aio', 59909184734,99.88,0.12,48088
263884,b'stress-ng-aio', 59909237759,99.90,0.10,45514
