timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
78832605284580,257112,0,3,2226,78832605282354,78832605284580,b'stress-ng-aio',b'swapper/3',2
78832676726757,257113,257190,0,34207,78832676692550,78832676726757,b'stress-ng-aio',b'stress-ng-aio',2
78832676858842,257114,257185,0,70703,78832676788139,78832676858842,b'stress-ng-aio',b'stress-ng-aio',2
78832676717605,257097,257189,1,13585,78832676704020,78832676717605,b'stress-ng-aio',b'stress-ng-aio',2
78832676778283,257092,257175,1,21127,78832676757156,78832676778283,b'stress-ng-aio',b'stress-ng-aio',2
78832676857990,257096,257195,1,21560,78832676836430,78832676857990,b'stress-ng-aio',b'stress-ng-aio',2
78832677301506,257105,257195,1,338081,78832676963425,78832677301506,b'stress-ng-aio',b'stress-ng-aio',2
78832677316527,257096,257105,1,126972,78832677189555,78832677316527,b'stress-ng-aio',b'stress-ng-aio',2
78832677335986,257097,257096,1,215514,78832677120472,78832677335986,b'stress-ng-aio',b'stress-ng-aio',2
78832676710467,257102,257177,2,12162,78832676698305,78832676710467,b'stress-ng-aio',b'stress-ng-aio',2
78832676738184,257115,257102,2,20434,78832676717750,78832676738184,b'stress-ng-aio',b'stress-ng-aio',2
78832676779734,257104,257196,2,10253,78832676769481,78832676779734,b'stress-ng-aio',b'stress-ng-aio',2
78832676865700,257105,0,2,6448,78832676859252,78832676865700,b'stress-ng-aio',b'swapper/2',2
78832676880726,257108,257105,2,18600,78832676862126,78832676880726,b'stress-ng-aio',b'stress-ng-aio',2
78832676947402,257113,0,2,5179,78832676942223,78832676947402,b'stress-ng-aio',b'swapper/2',2
78832677128162,257102,257196,2,148219,78832676979943,78832677128162,b'stress-ng-aio',b'stress-ng-aio',2
78832677140864,257104,257102,2,33645,78832677107219,78832677140864,b'stress-ng-aio',b'stress-ng-aio',2
78832677152666,257108,257104,2,42391,78832677110275,78832677152666,b'stress-ng-aio',b'stress-ng-aio',2
78832677177204,257104,31,2,14603,78832677162601,78832677177204,b'stress-ng-aio',b'migration/2',2
78832677192365,257104,0,2,2437,78832677189928,78832677192365,b'stress-ng-aio',b'swapper/2',2
78832677207107,257104,0,2,2204,78832677204903,78832677207107,b'stress-ng-aio',b'swapper/2',2
78832677287974,257099,0,2,4018,78832677283956,78832677287974,b'stress-ng-aio',b'swapper/2',2
78832677318277,257099,0,2,1725,78832677316552,78832677318277,b'stress-ng-aio',b'swapper/2',2
78832677332359,257099,0,2,1658,78832677330701,78832677332359,b'stress-ng-aio',b'swapper/2',2
78832677346718,257107,257099,2,157164,78832677189554,78832677346718,b'stress-ng-aio',b'stress-ng-aio',2
78832676782327,257093,0,3,3567,78832676778760,78832676782327,b'stress-ng-aio',b'swapper/3',2
78832677089351,257097,0,3,6359,78832677082992,78832677089351,b'stress-ng-aio',b'swapper/3',2
78832677107013,257106,257097,3,20267,78832677086746,78832677107013,b'stress-ng-aio',b'stress-ng-aio',2
78832677135701,257093,257106,3,60916,78832677074785,78832677135701,b'stress-ng-aio',b'stress-ng-aio',2
78832677178199,257108,0,3,11650,78832677166549,78832677178199,b'stress-ng-aio',b'swapper/3',2
78832677215904,257115,0,3,3687,78832677212217,78832677215904,b'stress-ng-aio',b'swapper/3',2
78832677257133,257115,0,3,2294,78832677254839,78832677257133,b'stress-ng-aio',b'swapper/3',2
78832677296141,257115,0,3,2000,78832677294141,78832677296141,b'stress-ng-aio',b'swapper/3',2
78832677316238,257115,0,3,2123,78832677314115,78832677316238,b'stress-ng-aio',b'swapper/3',2
78832676726550,257099,257182,4,8798,78832676717752,78832676726550,b'stress-ng-aio',b'stress-ng-aio',2
78832676800986,257113,257176,4,13354,78832676787632,78832676800986,b'stress-ng-aio',b'stress-ng-aio',2
78832676835390,257100,257113,4,65093,78832676770297,78832676835390,b'stress-ng-aio',b'stress-ng-aio',2
78832676873958,257113,257100,4,14634,78832676859324,78832676873958,b'stress-ng-aio',b'stress-ng-aio',2
78832677063927,257114,257176,4,108946,78832676954981,78832677063927,b'stress-ng-aio',b'stress-ng-aio',2
78832677340192,257100,257182,4,339014,78832677001178,78832677340192,b'stress-ng-aio',b'stress-ng-aio',2
78832676770844,257095,257183,5,17137,78832676753707,78832676770844,b'stress-ng-aio',b'stress-ng-aio',2
78832676786991,257107,257095,5,25215,78832676761776,78832676786991,b'stress-ng-aio',b'stress-ng-aio',2
78832676857823,257106,257188,5,21711,78832676836112,78832676857823,b'stress-ng-aio',b'stress-ng-aio',2
78832677298920,257092,257183,5,335489,78832676963431,78832677298920,b'stress-ng-aio',b'stress-ng-aio',2
78832677317241,257095,257092,5,343530,78832676973711,78832677317241,b'stress-ng-aio',b'stress-ng-aio',2
78832677336493,257106,257095,5,188451,78832677148042,78832677336493,b'stress-ng-aio',b'stress-ng-aio',2
78832696876950,257110,0,2,6742,78832696870208,78832696876950,b'stress-ng-aio',b'swapper/2',2
78832696932644,257110,0,2,2087,78832696930557,78832696932644,b'stress-ng-aio',b'swapper/2',2
78832696954532,257110,0,2,2127,78832696952405,78832696954532,b'stress-ng-aio',b'swapper/2',2
78832782372410,257094,257190,1,16744,78832782355666,78832782372410,b'stress-ng-aio',b'stress-ng-aio',2
78832782484142,257105,257195,1,10615,78832782473527,78832782484142,b'stress-ng-aio',b'stress-ng-aio',2
78832782728732,257096,257195,1,87602,78832782641130,78832782728732,b'stress-ng-aio',b'stress-ng-aio',2
78832782842640,257094,257189,1,76935,78832782765705,78832782842640,b'stress-ng-aio',b'stress-ng-aio',2
78832782858282,257105,257094,1,134601,78832782723681,78832782858282,b'stress-ng-aio',b'stress-ng-aio',2
78832782914042,257093,257105,1,273145,78832782640897,78832782914042,b'stress-ng-aio',b'stress-ng-aio',2
78832782954736,257110,257093,1,112640,78832782842096,78832782954736,b'stress-ng-aio',b'stress-ng-aio',2
78832782369434,257103,257181,2,18540,78832782350894,78832782369434,b'stress-ng-aio',b'stress-ng-aio',2
78832782406549,257109,0,2,2473,78832782404076,78832782406549,b'stress-ng-aio',b'swapper/2',2
78832782479662,257095,257193,2,7743,78832782471919,78832782479662,b'stress-ng-aio',b'stress-ng-aio',2
78832782498714,257099,0,2,2035,78832782496679,78832782498714,b'stress-ng-aio',b'swapper/2',2
78832782514575,257100,257099,2,18552,78832782496023,78832782514575,b'stress-ng-aio',b'stress-ng-aio',2
78832782718855,257099,257193,2,84640,78832782634215,78832782718855,b'stress-ng-aio',b'stress-ng-aio',2
78832782734272,257109,257099,2,96037,78832782638235,78832782734272,b'stress-ng-aio',b'stress-ng-aio',2
78832782751140,257095,257109,2,94193,78832782656947,78832782751140,b'stress-ng-aio',b'stress-ng-aio',2
78832782763739,257100,257095,2,15474,78832782748265,78832782763739,b'stress-ng-aio',b'stress-ng-aio',2
78832782842181,257100,257181,2,67488,78832782774693,78832782842181,b'stress-ng-aio',b'stress-ng-aio',2
78832782853301,257103,257100,2,65152,78832782788149,78832782853301,b'stress-ng-aio',b'stress-ng-aio',2
78832782941436,257111,0,2,4210,78832782937226,78832782941436,b'stress-ng-aio',b'swapper/2',2
78832782360406,257112,257188,3,9261,78832782351145,78832782360406,b'stress-ng-aio',b'stress-ng-aio',2
78832782394739,257101,257112,3,9112,78832782385627,78832782394739,b'stress-ng-aio',b'stress-ng-aio',2
78832782504078,257113,257175,3,30986,78832782473092,78832782504078,b'stress-ng-aio',b'stress-ng-aio',2
78832782706783,257113,257186,3,112640,78832782594143,78832782706783,b'stress-ng-aio',b'stress-ng-aio',2
78832782821156,257112,257175,3,85264,78832782735892,78832782821156,b'stress-ng-aio',b'stress-ng-aio',2
78832782936584,257098,0,3,3791,78832782932793,78832782936584,b'stress-ng-aio',b'swapper/3',2
78832782975050,257098,0,3,2410,78832782972640,78832782975050,b'stress-ng-aio',b'swapper/3',2
78832783014518,257098,0,3,15030,78832782999488,78832783014518,b'stress-ng-aio',b'swapper/3',2
78832782363524,257111,257184,4,3260,78832782360264,78832782363524,b'stress-ng-aio',b'stress-ng-aio',2
78832782392892,257098,257111,4,28982,78832782363910,78832782392892,b'stress-ng-aio',b'stress-ng-aio',2
78832782504696,257110,0,4,3181,78832782501515,78832782504696,b'stress-ng-aio',b'swapper/4',2
78832782505007,257093,257179,5,25446,78832782479561,78832782505007,b'stress-ng-aio',b'stress-ng-aio',2
78832782942247,257101,257179,5,199993,78832782742254,78832782942247,b'stress-ng-aio',b'stress-ng-aio',2
