timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
2032702129499,29487,29505,0,222091,2032701907408,2032702129499,b'stress-ng-aio',b'stress-ng-aio',2
2032702186994,29493,29487,0,129495,2032702057499,2032702186994,b'stress-ng-aio',b'stress-ng-aio',2
2032750445573,29494,0,0,18443,2032750427130,2032750445573,b'stress-ng-aio',b'swapper/0',2
2032750545240,29503,0,0,11138,2032750534102,2032750545240,b'stress-ng-aio',b'swapper/0',2
2032841742054,29484,29525,0,65148,2032841676906,2032841742054,b'stress-ng-aio',b'stress-ng-aio',2
2032841805279,29501,29484,0,86248,2032841719031,2032841805279,b'stress-ng-aio',b'stress-ng-aio',2
2032842181201,29489,16,0,82240,2032842098961,2032842181201,b'stress-ng-aio',b'ksoftirqd/0',2
2032842593371,29498,90,0,304066,2032842289305,2032842593371,b'stress-ng-aio',b'kworker/0:1H',2
2032842638558,29492,29498,0,287143,2032842351415,2032842638558,b'stress-ng-aio',b'stress-ng-aio',2
2032842697252,29503,29492,0,322141,2032842375111,2032842697252,b'stress-ng-aio',b'stress-ng-aio',2
2032952225334,29502,0,0,12682,2032952212652,2032952225334,b'stress-ng-aio',b'swapper/0',2
2032952293281,29493,0,0,5032,2032952288249,2032952293281,b'stress-ng-aio',b'swapper/0',2
2033034050623,29497,29526,0,525671,2033033524952,2033034050623,b'stress-ng-aio',b'stress-ng-aio',2
2033034106801,29502,29497,0,396484,2033033710317,2033034106801,b'stress-ng-aio',b'stress-ng-aio',2
2033034160850,29504,29502,0,401633,2033033759217,2033034160850,b'stress-ng-aio',b'stress-ng-aio',2
2033035036477,29500,29526,0,785640,2033034250837,2033035036477,b'stress-ng-aio',b'stress-ng-aio',2
2033035088040,29495,29500,0,238388,2033034849652,2033035088040,b'stress-ng-aio',b'stress-ng-aio',2
2033092832459,29498,0,0,53729,2033092778730,2033092832459,b'stress-ng-aio',b'swapper/0',2
2033124261290,29490,90,0,98548,2033124162742,2033124261290,b'stress-ng-aio',b'kworker/0:1H',2
2033241297569,29501,90,0,36950,2033241260619,2033241297569,b'stress-ng-aio',b'kworker/0:1H',2
2033241311440,29492,29501,0,33073,2033241278367,2033241311440,b'stress-ng-aio',b'stress-ng-aio',2
2033241335759,29504,29492,0,16925,2033241318834,2033241335759,b'stress-ng-aio',b'stress-ng-aio',2
2031842133671,29483,0,1,31809,2031842101862,2031842133671,b'stress-ng-aio',b'swapper/1',2
2031842181110,29485,29483,1,45702,2031842135408,2031842181110,b'stress-ng-aio',b'stress-ng-aio',2
2031842200591,29484,29485,1,72943,2031842127648,2031842200591,b'stress-ng-aio',b'stress-ng-aio',2
2031842333716,29487,29510,1,152506,2031842181210,2031842333716,b'stress-ng-aio',b'stress-ng-aio',2
2031842344704,29484,29487,1,115699,2031842229005,2031842344704,b'stress-ng-aio',b'stress-ng-aio',2
2031842368039,29483,29484,1,173424,2031842194615,2031842368039,b'stress-ng-aio',b'stress-ng-aio',2
2031842436194,29485,29514,1,227515,2031842208679,2031842436194,b'stress-ng-aio',b'stress-ng-aio',2
2031842503122,29498,29516,1,242787,2031842260335,2031842503122,b'stress-ng-aio',b'stress-ng-aio',2
2031842511102,29488,29498,1,324347,2031842186755,2031842511102,b'stress-ng-aio',b'stress-ng-aio',2
2031842651819,29493,29519,1,419036,2031842232783,2031842651819,b'stress-ng-aio',b'stress-ng-aio',2
2031842666332,29499,29493,1,400525,2031842265807,2031842666332,b'stress-ng-aio',b'stress-ng-aio',2
2031842675972,29497,29499,1,420757,2031842255215,2031842675972,b'stress-ng-aio',b'stress-ng-aio',2
2031842694378,29491,29497,1,388414,2031842305964,2031842694378,b'stress-ng-aio',b'stress-ng-aio',2
2031842714008,29501,29491,1,433849,2031842280159,2031842714008,b'stress-ng-aio',b'stress-ng-aio',2
2031842957924,29487,29510,1,603168,2031842354756,2031842957924,b'stress-ng-aio',b'stress-ng-aio',2
2031843138411,29495,29528,1,665978,2031842472433,2031843138411,b'stress-ng-aio',b'stress-ng-aio',2
2031843151051,29502,29495,1,865652,2031842285399,2031843151051,b'stress-ng-aio',b'stress-ng-aio',2
2031843166580,29498,29502,1,648804,2031842517776,2031843166580,b'stress-ng-aio',b'stress-ng-aio',2
2031843180800,29494,29498,1,620076,2031842560724,2031843180800,b'stress-ng-aio',b'stress-ng-aio',2
2031843195179,29506,29494,1,882524,2031842312655,2031843195179,b'stress-ng-aio',b'stress-ng-aio',2
