timestamp_ns,pid,cpu,refs,misses,cache_level,comm
80443170589985,275833,0,93777,0,0,b'stress-ng-cpu'
80443170747304,275833,0,93777,0,0,b'stress-ng-cpu'
80443170896299,275833,0,826204,0,0,b'stress-ng-cpu'
80443170649527,275835,1,192230,0,0,b'stress-ng-cpu'
80443170961387,275835,1,192230,0,0,b'stress-ng-cpu'
80443171231248,275835,1,1197764,0,0,b'stress-ng-cpu'
80443170583666,275837,3,0,27438,0,b'stress-ng-cpu'
80443170616507,275837,3,65166,0,0,b'stress-ng-cpu'
80443170723395,275837,3,65166,0,0,b'stress-ng-cpu'
80443170818462,275837,3,819089,0,0,b'stress-ng-cpu'
80443172135084,275833,0,7037039,0,0,b'stress-ng-cpu'
80443172068640,275837,3,9919619,0,0,b'stress-ng-cpu'
80443172275273,275838,5,1655213,0,0,b'stress-ng-cpu'
80443172549715,275836,2,1374962,0,0,b'stress-ng-cpu'
80443173052232,275835,1,6609461,0,0,b'stress-ng-cpu'
80443174148572,275833,0,0,44252,0,b'stress-ng-cpu'
80443174245430,275836,2,2805642,0,0,b'stress-ng-cpu'
80443175361859,275838,5,2835185,0,0,b'stress-ng-cpu'
80443177003312,275837,3,0,40604,0,b'stress-ng-cpu'
80443177322298,275836,2,6028379,0,0,b'stress-ng-cpu'
80443179610374,275838,5,4449757,0,0,b'stress-ng-cpu'
80443183201324,275833,0,7835049,0,0,b'stress-ng-cpu'
80443183781056,275836,2,7905934,0,0,b'stress-ng-cpu'
80443183934397,275835,1,7152080,0,0,b'stress-ng-cpu'
80443187411280,275837,3,8059065,0,0,b'stress-ng-cpu'
80443188726537,275838,5,4638786,0,0,b'stress-ng-cpu'
80443191365638,275846,1,0,19272,0,b'stress-ng-cpu'
80443192573431,275842,2,8489702,0,0,b'stress-ng-cpu'
80443192640997,275855,0,0,26256,0,b'stress-ng-cpu'
80443193433922,275841,3,0,38802,0,b'stress-ng-cpu'
80443194855043,275854,5,6205777,0,0,b'stress-ng-cpu'
