timestamp_ns,pid,prev_pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,next_pid,next_comm
80443233009066,275845,275834,0,41985549,0,b'stress-ng-cpu',,,0,b''
80443233009321,275852,275837,2,41997991,0,b'stress-ng-cpu',,,0,b''
80443233006199,275846,275835,3,41998908,0,b'stress-ng-cpu',,,0,b''
80443254016938,275843,275846,3,42009094,0,b'stress-ng-cpu',,,0,b''
80443275008270,275842,275838,1,84000990,0,b'stress-ng-cpu',,,0,b''
80443275008984,275834,275833,2,83998996,0,b'stress-ng-cpu',,,0,b''
80443275008300,275855,275854,5,62999427,0,b'stress-ng-cpu',,,0,b''
80443296008914,275835,275848,0,84001166,0,b'stress-ng-cpu',,,0,b''
80443296010355,275845,275842,1,83990009,0,b'stress-ng-cpu',,,0,b''
80443296010212,275839,275834,2,63001146,0,b'stress-ng-cpu',,,0,b''
80443296006548,275844,275836,4,104982289,0,b'stress-ng-cpu',,,0,b''
80443296010354,275843,275855,5,84002617,0,b'stress-ng-cpu',,,0,b''
80443317006648,275847,275835,0,84000449,0,b'stress-ng-cpu',,,0,b''
80443317008531,275852,275845,1,63002632,0,b'stress-ng-cpu',,,0,b''
80443317021428,275841,275839,2,84013094,0,b'stress-ng-cpu',,,0,b''
80443317008272,275849,275851,3,63001983,0,b'stress-ng-cpu',,,0,b''
80443317008858,275856,275844,4,83991719,0,b'stress-ng-cpu',,,0,b''
80443317009159,275850,275843,5,42002891,0,b'stress-ng-cpu',,,0,b''
80443338009347,275854,275847,0,63001520,0,b'stress-ng-cpu',,,0,b''
80443338008291,275834,275852,1,83989092,0,b'stress-ng-cpu',,,0,b''
80443338009237,275848,275841,2,126000371,0,b'stress-ng-cpu',,,0,b''
80443338007673,275853,275849,3,83990121,0,b'stress-ng-cpu',,,0,b''
80443338008940,275838,275856,4,83990227,0,b'stress-ng-cpu',,,0,b''
80443338008293,275846,275850,5,63000450,0,b'stress-ng-cpu',,,0,b''
80443359009087,275836,275854,0,84000787,0,b'stress-ng-cpu',,,0,b''
80443359006919,275842,275834,1,62996707,0,b'stress-ng-cpu',,,0,b''
80443359006445,275833,275848,2,62997531,0,b'stress-ng-cpu',,,0,b''
80443359008460,275855,275853,3,126000124,0,b'stress-ng-cpu',,,0,b''
80443359009014,275840,275838,4,84000744,0,b'stress-ng-cpu',,,0,b''
80443359019436,275837,275846,5,105002498,0,b'stress-ng-cpu',,,0,b''
80443380008665,275851,275836,0,84002117,0,b'stress-ng-cpu',,,0,b''
80443380018261,275845,275833,2,105009277,0,b'stress-ng-cpu',,,0,b''
80443380008827,275839,275855,3,83998473,0,b'stress-ng-cpu',,,0,b''
80443380009003,275849,275840,4,83996391,0,b'stress-ng-cpu',,,0,b''
80443380006730,275843,275837,5,146997409,0,b'stress-ng-cpu',,,0,b''
80443401006041,275847,275851,0,83997769,0,b'stress-ng-cpu',,,0,b''
80443401018187,275856,275845,2,84009656,0,b'stress-ng-cpu',,,0,b''
80443401007945,275852,275839,3,83986517,0,b'stress-ng-cpu',,,0,b''
80443401006208,275844,275849,4,62998535,0,b'stress-ng-cpu',,,0,b''
80443401009046,275841,275843,5,83999887,0,b'stress-ng-cpu',,,0,b''
80443401020667,275835,275850,1,63012374,0,b'stress-ng-cpu',,,0,b''
80443422008410,275853,275847,0,83999063,0,b'stress-ng-cpu',,,0,b''
80443422007037,275834,275835,1,105000389,0,b'stress-ng-cpu',,,0,b''
80443422008265,275833,275856,2,83999325,0,b'stress-ng-cpu',,,0,b''
80443422009610,275855,275852,3,84001319,0,b'stress-ng-cpu',,,0,b''
80443422008438,275854,275844,4,104999580,0,b'stress-ng-cpu',,,0,b''
80443422007038,275846,275841,5,83997801,0,b'stress-ng-cpu',,,0,b''
80443443007421,275851,275853,0,83998961,0,b'stress-ng-cpu',,,0,b''
80443443021714,275836,275834,1,84014795,0,b'stress-ng-cpu',,,0,b''
80443443008277,275840,275833,2,62990016,0,b'stress-ng-cpu',,,0,b''
80443443007772,275848,275855,3,62998945,0,b'stress-ng-cpu',,,0,b''
80443443009345,275837,275854,4,84000258,0,b'stress-ng-cpu',,,0,b''
80443443010003,275838,275846,5,83990567,0,b'stress-ng-cpu',,,0,b''
80443464008632,275849,275851,0,63002591,0,b'stress-ng-cpu',,,0,b''
80443464009579,275843,275836,1,84000914,0,b'stress-ng-cpu',,,0,b''
80443464009310,275850,275840,2,84000307,0,b'stress-ng-cpu',,,0,b''
80443464005927,275839,275848,3,104999482,0,b'stress-ng-cpu',,,0,b''
80443464008551,275845,275837,4,84001821,0,b'stress-ng-cpu',,,0,b''
80443464008250,275842,275838,5,104999236,0,b'stress-ng-cpu',,,0,b''
80443485009293,275844,275849,0,84003085,0,b'stress-ng-cpu',,,0,b''
80443485008239,275841,275843,1,83999193,0,b'stress-ng-cpu',,,0,b''
80443485008747,275847,275850,2,83988080,0,b'stress-ng-cpu',,,0,b''
