timestamp_ns,pid,prev_pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,next_pid,next_comm
38342306442169,431794,431809,0,449200,0,b'stress-ng-aio',,,0,b''
38342306461603,431788,431794,0,628485,0,b'stress-ng-aio',,,0,b''
38342306485934,431795,431788,0,385872,0,b'stress-ng-aio',,,0,b''
38342589146695,431796,431797,0,49197674,0,b'stress-ng-aio',,,0,b''
38343468528668,431792,431802,0,56857,0,b'stress-ng-aio',,,0,b''
38343468555794,431788,431792,0,804312,0,b'stress-ng-aio',,,0,b''
38343631715523,431786,431802,0,241303,0,b'stress-ng-aio',,,0,b''
38343631733138,431803,431786,0,426059,0,b'stress-ng-aio',,,0,b''
38343943519198,431787,431792,0,558719,0,b'stress-ng-aio',,,0,b''
38343943540238,431809,431787,0,87748,0,b'stress-ng-aio',,,0,b''
38343943584864,431810,431809,0,391694,0,b'stress-ng-aio',,,0,b''
38344078571824,431796,431787,0,55586,0,b'stress-ng-aio',,,0,b''
38344078593492,431807,431796,0,54295,0,b'stress-ng-aio',,,0,b''
38344078741245,431792,431801,0,435258,0,b'stress-ng-aio',,,0,b''
38342589107225,431798,431802,1,49173987,0,b'stress-ng-aio',,,0,b''
38342589148058,431787,431798,1,49122370,0,b'stress-ng-aio',,,0,b''
38343073680960,431787,431807,1,234175238,0,b'stress-ng-aio',,,0,b''
38343080373748,431802,431809,1,30923,0,b'stress-ng-aio',,,0,b''
38343318208168,431792,431805,1,49956,0,b'stress-ng-aio',,,0,b''
38343318254949,431790,431791,1,34511,0,b'stress-ng-aio',,,0,b''
38343318275218,431803,431790,1,313424,0,b'stress-ng-aio',,,0,b''
38343806941563,431808,431807,1,46440,0,b'stress-ng-aio',,,0,b''
38343806965137,431807,431808,1,52143,0,b'stress-ng-aio',,,0,b''
38343807101408,431806,431796,1,646132,0,b'stress-ng-aio',,,0,b''
38343807278864,431793,431801,1,46934,0,b'stress-ng-aio',,,0,b''
38343807381543,431788,431790,1,51793,0,b'stress-ng-aio',,,0,b''
38343943570914,431793,431802,1,51722,0,b'stress-ng-aio',,,0,b''
38343943603072,431807,431793,1,546632,0,b'stress-ng-aio',,,0,b''
38344078238878,431807,431789,1,20967639,0,b'stress-ng-aio',,,0,b''
38344078278101,431789,431807,1,134657180,0,b'stress-ng-aio',,,0,b''
38344078303376,431800,431789,1,64498,0,b'stress-ng-aio',,,0,b''
38344078371364,431790,431803,1,134662717,0,b'stress-ng-aio',,,0,b''
38344078402150,431806,431790,1,60911,0,b'stress-ng-aio',,,0,b''
38344078425089,431803,431806,1,21224784,0,b'stress-ng-aio',,,0,b''
38344078452307,431806,431803,1,80943,0,b'stress-ng-aio',,,0,b''
38344078469809,431809,431806,1,44720,0,b'stress-ng-aio',,,0,b''
38344078501017,431808,431809,1,61188,0,b'stress-ng-aio',,,0,b''
38342306211660,431792,431798,2,259316,0,b'stress-ng-aio',,,0,b''
38342393066046,431808,431800,2,85960039,0,b'stress-ng-aio',,,0,b''
38342759745065,431810,431798,2,137472,0,b'stress-ng-aio',,,0,b''
38342759762621,431809,431810,2,167676,0,b'stress-ng-aio',,,0,b''
38342759777284,431803,431809,2,177372,0,b'stress-ng-aio',,,0,b''
38343080215326,431794,431797,2,6303299,0,b'stress-ng-aio',,,0,b''
38343080243755,431801,431794,2,6405281,0,b'stress-ng-aio',,,0,b''
38343318210581,431798,431800,2,59600,0,b'stress-ng-aio',,,0,b''
38343468432786,431786,431809,2,53807,0,b'stress-ng-aio',,,0,b''
38343468450373,431802,431786,2,93881,0,b'stress-ng-aio',,,0,b''
38343631619942,431791,431788,2,301308,0,b'stress-ng-aio',,,0,b''
38343806340941,431795,431786,2,174607803,0,b'stress-ng-aio',,,0,b''
38343807174152,431793,431794,2,859206,0,b'stress-ng-aio',,,0,b''
38344078341239,431792,431790,2,20883907,0,b'stress-ng-aio',,,0,b''
38344078511581,431806,431788,2,134986677,0,b'stress-ng-aio',,,0,b''
38344209713827,431798,431805,2,72713,0,b'stress-ng-aio',,,0,b''
38344210090940,431800,431797,2,595027,0,b'stress-ng-aio',,,0,b''
38344210209659,431805,431791,2,95461,0,b'stress-ng-aio',,,0,b''
38342589031595,431809,431803,3,49044738,0,b'stress-ng-aio',,,0,b''
38342589159059,431786,431788,3,49252776,0,b'stress-ng-aio',,,0,b''
38342759586616,431798,431792,3,170413755,0,b'stress-ng-aio',,,0,b''
38342878905354,431799,431795,3,1517900,0,b'stress-ng-aio',,,0,b''
38342878924901,431798,431799,3,1547698,0,b'stress-ng-aio',,,0,b''
38342878947603,431809,431798,3,1550151,0,b'stress-ng-aio',,,0,b''
38343080261961,431797,431808,3,6836641,0,b'stress-ng-aio',,,0,b''
38343080523249,431795,431786,3,6785382,0,b'stress-ng-aio',,,0,b''
38343080545671,431789,431795,3,83095,0,b'stress-ng-aio',,,0,b''
38343080561408,431786,431789,3,97156,0,b'stress-ng-aio',,,0,b''
38343318284495,431791,431798,3,52353,0,b'stress-ng-aio',,,0,b''
38343318302486,431790,431791,3,47537,0,b'stress-ng-aio',,,0,b''
38343318321240,431803,431790,3,46022,0,b'stress-ng-aio',,,0,b''
38343318337984,431806,431803,3,44590,0,b'stress-ng-aio',,,0,b''
38343468266993,431789,431790,3,339075,0,b'stress-ng-aio',,,0,b''
38343468548914,431799,431801,3,63497,0,b'stress-ng-aio',,,0,b''
38343631702926,431788,431787,3,78612,0,b'stress-ng-aio',,,0,b''
38343807163133,431789,431795,3,802778,0,b'stress-ng-aio',,,0,b''
38343807181544,431795,431789,3,53116,0,b'stress-ng-aio',,,0,b''
38343807209812,431801,431795,3,46679,0,b'stress-ng-aio',,,0,b''
38343807231930,431794,431801,3,788473,0,b'stress-ng-aio',,,0,b''
38343807254204,431790,431794,3,42392,0,b'stress-ng-aio',,,0,b''
38343807329750,431786,431790,3,24842,0,b'stress-ng-aio',,,0,b''
38344078516238,431796,431787,3,134976000,0,b'stress-ng-aio',,,0,b''
38344078646114,431805,431800,3,40252,0,b'stress-ng-aio',,,0,b''
38344078665123,431790,431805,3,48784,0,b'stress-ng-aio',,,0,b''
38344209835500,431786,431798,3,103684,0,b'stress-ng-aio',,,0,b''
38344210191307,431799,431786,3,321216,0,b'stress-ng-aio',,,0,b''
38344210213296,431796,431799,3,566252,0,b'stress-ng-aio',,,0,b''
38344210282076,431801,431789,3,442380,0,b'stress-ng-aio',,,0,b''
38344210297452,431798,431801,3,435971,0,b'stress-ng-aio',,,0,b''
