PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
426023,b'stress-ng-aio', 60124725168,99.87,0.13,39155
426024,b'stress-ng-aio', 60125229359,99.84,0.16,37813
426029,b'stress-ng-aio', 60124792650,99.84,0.16,35867
426037,b'stress-ng-aio', 60124283968,99.84,0.16,34499
426041,b'stress-ng-aio', 60124597364,99.86,0.14,37676
426036,b'stress-ng-aio', 59550504637,99.88,0.12,38782
426021,b'stress-ng-aio', 60126351175,99.86,0.14,38385
426043,b'stress-ng-aio', 60152517029,99.83,0.17,39066
426039,b'stress-ng-aio', 60124478767,99.84,0.16,25835
426034,b'stress-ng-aio', 60125140363,99.83,0.17,32264
426040,b'stress-ng-aio', 59893536065,99.82,0.18,37960
426030,b'stress-ng-aio', 59893558799,99.87,0.13,37448
426038,b'stress-ng-aio', 59893447486,99.84,0.16,39607
426025,b'stress-ng-aio', 60125140588,99.83,0.17,37308
426032,b'stress-ng-aio', 59893248480,99.85,0.15,37603
426031,b'stress-ng-aio', 59893293084,99.84,0.16,36272
426033,b'stress-ng-aio', 60124838001,99.83,0.17,40520
426020,b'stress-ng-aio', 60125373047,99.85,0.15,37015
426028,b'stress-ng-aio', 60125511250,99.86,0.14,40392
426042,b'stress-ng-aio', 60124789699,99.88,0.12,36344
426022,b'stress-ng-aio', 60125353009,99.87,0.13,37870
426027,b'stress-ng-aio', 60125251567,99.87,0.13,37877
426026,b'stress-ng-aio', 60125073719,99.84,0.16,36849
426035,b'stress-ng-aio', 60124612199,99.85,0.15,39096
