timestamp_ns,pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,wait_type,next_pid
79980114353001,270580,1,199175,0,b'stress-ng-aio',,,0,0
79980114315087,270597,3,362847,0,b'stress-ng-aio',,,0,0
79980114334635,270592,3,242977,0,b'stress-ng-aio',,,0,0
79980114355536,270593,3,370055,0,b'stress-ng-aio',,,0,0
79980114617491,270585,3,256751,0,b'stress-ng-aio',,,0,0
79980114631297,270588,3,321727,0,b'stress-ng-aio',,,0,0
79980114645652,270585,3,294282,0,b'stress-ng-aio',,,0,0
79980114660113,270591,3,28816,0,b'stress-ng-aio',,,0,0
79980114675726,270588,3,322636,0,b'stress-ng-aio',,,0,0
79980114304020,270578,5,353269,0,b'stress-ng-aio',,,0,0
79980114333049,270591,5,467305,0,b'stress-ng-aio',,,0,0
79980114353090,270576,5,369122,0,b'stress-ng-aio',,,0,0
79980114373611,270575,5,93099,0,b'stress-ng-aio',,,0,0
79980114386722,270576,5,428116,0,b'stress-ng-aio',,,0,0
79980114401114,270598,5,27503,0,b'stress-ng-aio',,,0,0
79980114445006,270594,5,138032,0,b'stress-ng-aio',,,0,0
79980114461703,270597,5,128471,0,b'stress-ng-aio',,,0,0
79980114476191,270594,5,141556,0,b'stress-ng-aio',,,0,0
79980114493338,270581,5,31635,0,b'stress-ng-aio',,,0,0
79980114524290,270595,5,311711,0,b'stress-ng-aio',,,0,0
79980114550632,270581,5,197631,0,b'stress-ng-aio',,,0,0
79980114560230,270595,5,35940,0,b'stress-ng-aio',,,0,0
79980114576398,270596,5,25766,0,b'stress-ng-aio',,,0,0
79980114280512,270598,0,431129,0,b'stress-ng-aio',,,0,0
79980114306974,270596,0,255061,0,b'stress-ng-aio',,,0,0
79980114720716,270586,0,141939,0,b'stress-ng-aio',,,0,0
79980114768817,270577,0,464797,0,b'stress-ng-aio',,,0,0
79980114782481,270584,0,615040,0,b'stress-ng-aio',,,0,0
79980114843482,270599,0,457674,0,b'stress-ng-aio',,,0,0
79980114867440,270592,0,493241,0,b'stress-ng-aio',,,0,0
79980114881498,270599,0,35004,0,b'stress-ng-aio',,,0,0
79980114895226,270592,0,27786,0,b'stress-ng-aio',,,0,0
79980114351370,270599,2,387657,0,b'stress-ng-aio',,,0,0
79980114374199,270579,2,289634,0,b'stress-ng-aio',,,0,0
79980114309570,270594,4,363179,0,b'stress-ng-aio',,,0,0
79980114333232,270587,4,199323,0,b'stress-ng-aio',,,0,0
79980114360740,270600,4,393217,0,b'stress-ng-aio',,,0,0
79980114507469,270596,4,106424,0,b'stress-ng-aio',,,0,0
79980114526405,270589,4,196197,0,b'stress-ng-aio',,,0,0
79980114545469,270596,4,287392,0,b'stress-ng-aio',,,0,0
79980114561424,270589,4,35019,0,b'stress-ng-aio',,,0,0
79980114798281,270586,4,483194,0,b'stress-ng-aio',,,0,0
79980114846494,270600,4,490958,0,b'stress-ng-aio',,,0,0
79980114867483,270580,4,478014,0,b'stress-ng-aio',,,0,0
79980114881510,270600,4,38028,0,b'stress-ng-aio',,,0,0
79980114898252,270580,4,30769,0,b'stress-ng-aio',,,0,0
79980268532397,270585,0,103390,0,b'stress-ng-aio',,,0,0
79980268569282,270595,0,153863637,0,b'stress-ng-aio',,,0,0
79980268923150,270599,0,138914,0,b'stress-ng-aio',,,0,0
79980268945437,270581,0,35125,0,b'stress-ng-aio',,,0,0
79980269019468,270595,0,415858,0,b'stress-ng-aio',,,0,0
79980268784236,270587,1,154063520,0,b'stress-ng-aio',,,0,0
79980268815384,270576,1,150402,0,b'stress-ng-aio',,,0,0
79980268839189,270600,1,237118,0,b'stress-ng-aio',,,0,0
79980268602071,270583,2,154119280,0,b'stress-ng-aio',,,0,0
79980268786494,270598,2,153888242,0,b'stress-ng-aio',,,0,0
79980268815788,270585,2,180899,0,b'stress-ng-aio',,,0,0
79980269139636,270600,2,327764,0,b'stress-ng-aio',,,0,0
79980269167102,270585,2,232636,0,b'stress-ng-aio',,,0,0
79980268794688,270593,3,82558,0,b'stress-ng-aio',,,0,0
79980268811872,270600,3,112134,0,b'stress-ng-aio',,,0,0
79980268824379,270583,3,37885,0,b'stress-ng-aio',,,0,0
79980268849652,270598,3,209223,0,b'stress-ng-aio',,,0,0
79980269060590,270581,3,245206,0,b'stress-ng-aio',,,0,0
79980269077104,270583,3,57636,0,b'stress-ng-aio',,,0,0
79980269104003,270596,3,41333,0,b'stress-ng-aio',,,0,0
79980269120606,270585,3,325918,0,b'stress-ng-aio',,,0,0
79980269134636,270596,3,283739,0,b'stress-ng-aio',,,0,0
79980269145168,270585,3,24562,0,b'stress-ng-aio',,,0,0
79980269155605,270596,3,20969,0,b'stress-ng-aio',,,0,0
79980269166572,270593,3,21404,0,b'stress-ng-aio',,,0,0
79980269179732,270596,3,40096,0,b'stress-ng-aio',,,0,0
79980268910312,270600,4,178484,0,b'stress-ng-aio',,,0,0
79980268934466,270586,4,71454,0,b'stress-ng-aio',,,0,0
79980268603610,270586,5,154012869,0,b'stress-ng-aio',,,0,0
79980268635119,270587,5,153821011,0,b'stress-ng-aio',,,0,0
79980268664982,270593,5,153952680,0,b'stress-ng-aio',,,0,0
79980268699738,270599,5,154000682,0,b'stress-ng-aio',,,0,0
79980268881072,270586,5,41883,0,b'stress-ng-aio',,,0,0
79980368384959,270597,0,160827463,0,b'stress-ng-aio',,,0,0
79980368440687,270593,0,99908290,0,b'stress-ng-aio',,,0,0
79980368465731,270579,0,99285999,0,b'stress-ng-aio',,,0,0
79980368485539,270578,0,100580,0,b'stress-ng-aio',,,0,0
79980368765562,270584,4,237911,0,b'stress-ng-aio',,,0,0
79980368790968,270591,4,223161,0,b'stress-ng-aio',,,0,0
79980368822654,270577,4,220409,0,b'stress-ng-aio',,,0,0
79980368849910,270591,4,292701,0,b'stress-ng-aio',,,0,0
79980368546286,270584,1,99579039,0,b'stress-ng-aio',,,0,0
79980368602245,270598,1,3810959,0,b'stress-ng-aio',,,0,0
79980368660278,270593,1,219591,0,b'stress-ng-aio',,,0,0
79980368673866,270597,1,27565,0,b'stress-ng-aio',,,0,0
79980368827174,270598,1,61612,0,b'stress-ng-aio',,,0,0
79980368849983,270597,1,175745,0,b'stress-ng-aio',,,0,0
79980368674238,270575,2,19982,0,b'stress-ng-aio',,,0,0
79980368841601,270594,3,167735,0,b'stress-ng-aio',,,0,0
79980368599353,270589,5,133622,0,b'stress-ng-aio',,,0,0
79980368631597,270593,5,85311,0,b'stress-ng-aio',,,0,0
79980439530949,270580,1,95636,0,b'stress-ng-aio',,,0,0
79980439546645,270595,1,61609,0,b'stress-ng-aio',,,0,0
79980439441717,270592,4,74462416,0,b'stress-ng-aio',,,0,0
79980439464933,270580,4,74469117,0,b'stress-ng-aio',,,0,0
79980439435313,270597,3,38222,0,b'stress-ng-aio',,,0,0
79980439467466,270589,3,70595976,0,b'stress-ng-aio',,,0,0
79980439496308,270592,3,70864711,0,b'stress-ng-aio',,,0,0
79980507935117,270581,0,223397,0,b'stress-ng-aio',,,0,0
79980507959108,270600,0,165562,0,b'stress-ng-aio',,,0,0
79980507978468,270596,0,196344,0,b'stress-ng-aio',,,0,0
79980508024202,270587,1,269051,0,b'stress-ng-aio',,,0,0
79980508068366,270586,1,345072,0,b'stress-ng-aio',,,0,0
79980507711720,270586,2,139226181,0,b'stress-ng-aio',,,0,0
79980507729276,270585,2,238774281,0,b'stress-ng-aio',,,0,0
79980507746334,270583,2,238556819,0,b'stress-ng-aio',,,0,0
79980507935211,270576,2,188877,0,b'stress-ng-aio',,,0,0
79980508055469,270600,2,120352,0,b'stress-ng-aio',,,0,0
79980507755151,270576,3,238685608,0,b'stress-ng-aio',,,0,0
79980548032816,270591,1,44944,0,b'stress-ng-aio',,,0,0
79980616122778,270589,5,107955937,0,b'stress-ng-aio',,,0,0
79980616194520,270576,5,247292030,0,b'stress-ng-aio',,,0,0
79980616388015,270580,5,247286,0,b'stress-ng-aio',,,0,0
79980616400661,270586,0,255177,0,b'stress-ng-aio',,,0,0
79980616424225,270597,0,301447,0,b'stress-ng-aio',,,0,0
79980616454798,270592,0,267369,0,b'stress-ng-aio',,,0,0
79980616490939,270587,0,291769,0,b'stress-ng-aio',,,0,0
79980616511743,270577,0,337856,0,b'stress-ng-aio',,,0,0
79980616531236,270575,0,32691,0,b'stress-ng-aio',,,0,0
79980616111722,270575,1,247320705,0,b'stress-ng-aio',,,0,0
79980616144762,270587,1,247452475,0,b'stress-ng-aio',,,0,0
79980616173887,270581,1,108073093,0,b'stress-ng-aio',,,0,0
79980616408679,270581,1,296957,0,b'stress-ng-aio',,,0,0
79980616429545,270584,1,230342,0,b'stress-ng-aio',,,0,0
79980616489700,270597,1,283713,0,b'stress-ng-aio',,,0,0
79980616506922,270592,1,52124,0,b'stress-ng-aio',,,0,0
79980616140729,270594,2,247313555,0,b'stress-ng-aio',,,0,0
79980616393517,270596,2,234557,0,b'stress-ng-aio',,,0,0
79980616498545,270576,2,304025,0,b'stress-ng-aio',,,0,0
79980724362900,270594,2,107764733,0,b'stress-ng-aio',,,0,0
79980724378796,270596,2,107985279,0,b'stress-ng-aio',,,0,0
79980724797080,270583,2,407528,0,b'stress-ng-aio',,,0,0
79980724389552,270578,3,107823473,0,b'stress-ng-aio',,,0,0
79980724796011,270596,3,387695,0,b'stress-ng-aio',,,0,0
79980724832504,270599,5,425942,0,b'stress-ng-aio',,,0,0
79980724859991,270593,5,535479,0,b'stress-ng-aio',,,0,0
79980724763745,270594,0,400845,0,b'stress-ng-aio',,,0,0
79980724786750,270579,0,407954,0,b'stress-ng-aio',,,0,0
79980724892149,270600,1,617095,0,b'stress-ng-aio',,,0,0
79980824147132,270589,2,37855,0,b'stress-ng-aio',,,0,0
79980824170062,270578,2,207769401,0,b'stress-ng-aio',,,0,0
79980824196805,270577,2,96789,0,b'stress-ng-aio',,,0,0
79980824217409,270595,2,207686173,0,b'stress-ng-aio',,,0,0
79980824266459,270596,3,119327,0,b'stress-ng-aio',,,0,0
79980824248228,270586,4,207701814,0,b'stress-ng-aio',,,0,0
79980824581109,270586,5,45981,0,b'stress-ng-aio',,,0,0
79980824601408,270584,5,333757,0,b'stress-ng-aio',,,0,0
79980824623266,270583,5,34185,0,b'stress-ng-aio',,,0,0
79980824470730,270575,0,273925,0,b'stress-ng-aio',,,0,0
79980824496527,270580,0,230068,0,b'stress-ng-aio',,,0,0
79980824535128,270588,0,363174,0,b'stress-ng-aio',,,0,0
79980824445982,270589,1,212896,0,b'stress-ng-aio',,,0,0
79980824504641,270577,1,334579,0,b'stress-ng-aio',,,0,0
79980824534435,270584,1,317026,0,b'stress-ng-aio',,,0,0
79980824589081,270583,1,371013,0,b'stress-ng-aio',,,0,0
79980824608705,270598,1,324491,0,b'stress-ng-aio',,,0,0
79980932660011,270581,0,108163484,0,b'stress-ng-aio',,,0,0
79980933275446,270598,0,392325,0,b'stress-ng-aio',,,0,0
79980933304858,270580,0,493043,0,b'stress-ng-aio',,,0,0
79980933328717,270578,0,222952,0,b'stress-ng-aio',,,0,0
79980933352997,270594,0,307436,0,b'stress-ng-aio',,,0,0
79980932765413,270598,1,207978663,0,b'stress-ng-aio',,,0,0
79980932883121,270588,1,208050617,0,b'stress-ng-aio',,,0,0
79980933276061,270585,1,421827,0,b'stress-ng-aio',,,0,0
79980933303912,270589,1,104806,0,b'stress-ng-aio',,,0,0
79980933466854,270577,1,33978,0,b'stress-ng-aio',,,0,0
79980933164011,270592,2,246574,0,b'stress-ng-aio',,,0,0
79980933183223,270585,2,419191,0,b'stress-ng-aio',,,0,0
79980933293521,270586,2,110298,0,b'stress-ng-aio',,,0,0
79980933311988,270583,2,35927,0,b'stress-ng-aio',,,0,0
79980933327732,270581,2,34131,0,b'stress-ng-aio',,,0,0
79980933432876,270598,2,460007,0,b'stress-ng-aio',,,0,0
79980932780161,270576,3,108309431,0,b'stress-ng-aio',,,0,0
79980932802556,270583,3,191223661,0,b'stress-ng-aio',,,0,0
79980932823611,270585,3,108102262,0,b'stress-ng-aio',,,0,0
79980933100099,270596,3,297543,0,b'stress-ng-aio',,,0,0
79980933130235,270589,3,159034,0,b'stress-ng-aio',,,0,0
79980933293601,270576,3,469990,0,b'stress-ng-aio',,,0,0
79980933341791,270583,3,29803,0,b'stress-ng-aio',,,0,0
79980933360725,270586,3,32993,0,b'stress-ng-aio',,,0,0
79980932657620,270591,4,108212207,0,b'stress-ng-aio',,,0,0
79980932686926,270597,4,207980086,0,b'stress-ng-aio',,,0,0
79980932703460,270575,4,45840,0,b'stress-ng-aio',,,0,0
79980932803052,270599,4,108221943,0,b'stress-ng-aio',,,0,0
79980932833322,270586,4,207894937,0,b'stress-ng-aio',,,0,0
79980932854234,270579,4,108160568,0,b'stress-ng-aio',,,0,0
79980932868296,270597,4,208060119,0,b'stress-ng-aio',,,0,0
79980932890600,270577,4,187140,0,b'stress-ng-aio',,,0,0
79980932914537,270600,4,108331289,0,b'stress-ng-aio',,,0,0
79980932998577,270578,5,130281,0,b'stress-ng-aio',,,0,0
79980933196220,270591,5,461375,0,b'stress-ng-aio',,,0,0
79980933424228,270577,5,406558,0,b'stress-ng-aio',,,0,0
79980933445844,270594,5,312146,0,b'stress-ng-aio',,,0,0
79980933467142,270598,5,90483,0,b'stress-ng-aio',,,0,0
79981032414585,270577,2,98724328,0,b'stress-ng-aio',,,0,0
79981032636710,270595,2,353276,0,b'stress-ng-aio',,,0,0
79981032725284,270577,2,300656,0,b'stress-ng-aio',,,0,0
79981032742582,270583,2,314777,0,b'stress-ng-aio',,,0,0
79981032755521,270577,2,24299,0,b'stress-ng-aio',,,0,0
79981032680664,270583,4,43954,0,b'stress-ng-aio',,,0,0
79981032668078,270580,1,146218,0,b'stress-ng-aio',,,0,0
79981032721283,270598,1,297247,0,b'stress-ng-aio',,,0,0
79981032741565,270592,1,310251,0,b'stress-ng-aio',,,0,0
79981122737882,270587,0,90084966,0,b'stress-ng-aio',,,0,0
79981122758397,270593,0,189482951,0,b'stress-ng-aio',,,0,0
79981122837034,270581,0,90156370,0,b'stress-ng-aio',,,0,0
79981122859285,270579,0,163925,0,b'stress-ng-aio',,,0,0
79981122875884,270581,0,181347,0,b'stress-ng-aio',,,0,0
79981123047231,270585,0,267191,0,b'stress-ng-aio',,,0,0
79981123081640,270591,0,333951,0,b'stress-ng-aio',,,0,0
79981122917927,270599,1,180045,0,b'stress-ng-aio',,,0,0
79981122947231,270586,1,208611,0,b'stress-ng-aio',,,0,0
79981122968238,270583,1,272986,0,b'stress-ng-aio',,,0,0
79981122694537,270576,3,189081525,0,b'stress-ng-aio',,,0,0
79981122721235,270585,3,189406500,0,b'stress-ng-aio',,,0,0
79981123094243,270593,4,335846,0,b'stress-ng-aio',,,0,0
79981207736124,270587,2,84753187,0,b'stress-ng-aio',,,0,0
79981207842269,270600,2,84845980,0,b'stress-ng-aio',,,0,0
79981207860946,270599,2,84753045,0,b'stress-ng-aio',,,0,0
79981207964487,270600,2,77747,0,b'stress-ng-aio',,,0,0
79981207977251,270594,2,116305,0,b'stress-ng-aio',,,0,0
79981207863258,270580,3,95331,0,b'stress-ng-aio',,,0,0
79981207904163,270594,4,84796425,0,b'stress-ng-aio',,,0,0
79981207927590,270583,4,170594,0,b'stress-ng-aio',,,0,0
79981207960644,270587,4,224520,0,b'stress-ng-aio',,,0,0
79981266969651,270596,3,143758538,0,b'stress-ng-aio',,,0,0
79981267085097,270591,3,59545455,0,b'stress-ng-aio',,,0,0
79981267105177,270594,3,59212671,0,b'stress-ng-aio',,,0,0
79981267576751,270577,3,515395,0,b'stress-ng-aio',,,0,0
79981267597304,270584,3,527709,0,b'stress-ng-aio',,,0,0
79981266997716,270588,0,216712361,0,b'stress-ng-aio',,,0,0
79981267502634,270589,0,397457,0,b'stress-ng-aio',,,0,0
79981267537142,270592,0,521860,0,b'stress-ng-aio',,,0,0
79981267578105,270591,0,527807,0,b'stress-ng-aio',,,0,0
79981267598037,270592,0,95403,0,b'stress-ng-aio',,,0,0
79981267038957,270584,4,234297392,0,b'stress-ng-aio',,,0,0
79981267061356,270597,4,234197751,0,b'stress-ng-aio',,,0,0
79981267434237,270596,4,315962,0,b'stress-ng-aio',,,0,0
79981267466876,270576,4,464539,0,b'stress-ng-aio',,,0,0
79981399226230,270595,3,191342433,0,b'stress-ng-aio',,,0,0
79981399248903,270576,3,131823074,0,b'stress-ng-aio',,,0,0
79981399272984,270594,3,131769785,0,b'stress-ng-aio',,,0,0
79981399444633,270581,0,80391,0,b'stress-ng-aio',,,0,0
79981399636545,270600,0,48723,0,b'stress-ng-aio',,,0,0
79981399655033,270595,0,71416,0,b'stress-ng-aio',,,0,0
79981399681468,270577,0,432565,0,b'stress-ng-aio',,,0,0
79981399700727,270592,0,246934,0,b'stress-ng-aio',,,0,0
79981399485763,270596,1,212779,0,b'stress-ng-aio',,,0,0
79981399523172,270580,1,273682,0,b'stress-ng-aio',,,0,0
79981399668460,270593,1,136948,0,b'stress-ng-aio',,,0,0
79981399686283,270585,1,108130,0,b'stress-ng-aio',,,0,0
79981399707681,270595,1,30042,0,b'stress-ng-aio',,,0,0
79981399729920,270589,1,48452,0,b'stress-ng-aio',,,0,0
79981399762534,270586,1,464753,0,b'stress-ng-aio',,,0,0
79981399778820,270589,1,28479,0,b'stress-ng-aio',,,0,0
79981399792957,270586,1,30423,0,b'stress-ng-aio',,,0,0
79981399491714,270593,2,315122,0,b'stress-ng-aio',,,0,0
