PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
261081,b'stress-ng-aio', 59738310401,95.95,4.05,7562
261083,b'stress-ng-aio', 59738168119,97.34,2.66,7908
261076,b'stress-ng-cpu', 59749381541,72.16,27.84,8578892
261085,b'stress-ng-aio', 59737611723,97.49,2.51,6775
261077,b'stress-ng-aio', 59738181987,96.54,3.46,6741
261098,b'stress-ng-cpu', 59734359180,71.15,28.85,6635258
261075,b'stress-ng-aio', 59748994406,96.09,3.91,6171
261080,b'stress-ng-cpu', 59733997835,76.89,23.11,8972456
261084,b'stress-ng-cpu', 59746762254,75.35,24.65,9850838
261082,b'stress-ng-cpu', 59748487774,79.45,20.55,10480339
261087,b'stress-ng-cpu', 59750860555,74.03,25.97,9522262
261079,b'stress-ng-aio', 59738134125,98.80,1.20,14176
261090,b'stress-ng-cpu', 59734105310,73.79,26.21,9058189
261078,b'stress-ng-cpu', 59735998690,72.48,27.52,8214396
261088,b'stress-ng-cpu', 59730410419,68.16,31.84,6261351
261086,b'stress-ng-cpu', 59745008512,76.44,23.56,8406797
261094,b'stress-ng-cpu', 59747891947,70.68,29.32,8614870
261092,b'stress-ng-cpu', 59742378872,76.18,23.82,11012953
261096,b'stress-ng-cpu', 59735996772,71.37,28.63,10357968
261095,b'stress-ng-cpu', 59726294888,72.17,27.83,6668772
261089,b'stress-ng-cpu', 59739164739,80.10,19.90,10970341
261093,b'stress-ng-cpu', 59723266289,72.51,27.49,8467619
261091,b'stress-ng-cpu', 59737378596,74.21,25.79,7858333
261097,b'stress-ng-cpu', 59734363387,77.68,22.32,9665116
