PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
271937,b'stress-ng-cpu', 59806389411,23.82,76.18,366400
271934,b'stress-ng-aio', 59947675073,99.92,0.08,169587
271945,b'stress-ng-aio', 59947440863,99.91,0.09,130557
271949,b'stress-ng-aio', 59947347005,99.92,0.08,148445
271953,b'stress-ng-aio', 59946948514,99.91,0.09,141629
271950,b'stress-ng-aio', 59946977397,99.91,0.09,124639
271951,b'stress-ng-aio', 59868646642,99.92,0.08,174748
271954,b'stress-ng-aio', 59665716954,99.93,0.07,190250
271936,b'stress-ng-aio', 59947454513,99.91,0.09,148002
271938,b'stress-ng-aio', 59946815399,99.92,0.08,152935
271947,b'stress-ng-aio', 59947498391,99.93,0.07,196525
271952,b'stress-ng-aio', 59947239251,99.92,0.08,167619
271948,b'stress-ng-aio', 59946667796,99.92,0.08,153411
271935,b'stress-ng-cpu', 59709457957,22.91,77.09,315174
271933,b'stress-ng-cpu', 59458431061,20.18,79.82,337468
271956,b'stress-ng-aio', 59946650296,99.92,0.08,143882
271942,b'stress-ng-aio', 59976922323,99.92,0.08,151445
271946,b'stress-ng-aio', 59728774849,99.93,0.07,180356
271941,b'stress-ng-cpu', 59659692066,24.59,75.41,349232
271944,b'stress-ng-aio', 59947170219,99.93,0.07,161662
271955,b'stress-ng-aio', 59763510866,99.93,0.07,176741
271940,b'stress-ng-aio', 59946509102,99.92,0.08,157999
271939,b'stress-ng-cpu', 59663176182,24.28,75.72,365327
271943,b'stress-ng-cpu', 59684377948,23.44,76.56,368916
